"Código","Nombre","Marca","Categoría","Costo","Precio Default","Moneda Default","Colores","Talles","Fotos","Numero de Parte","Notas",
"322-9999-27","AHORCADOR PARA CHICOTE MINI Largo: 5mm Diametro 4mm NAL",,"AHORCADORES",,133,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/322-9999-27.jpg",,"UNIVERSAL; PARA TODOS LOS AÑOS",
"322-9999-28","AHORCADOR PARA CHICOTE CHICO Largo: 5mm Diametro 6mm NAL",,"AHORCADORES",,133,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/322-9999-28.jpg",,"UNIVERSAL; PARA TODOS LOS AÑOS",
"322-9999-29","AHORCADOR PARA CHICOTE GRANDE Largo 8mm Diametro 5mm NAL",,"AHORCADORES",,133,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/322-9999-29.jpg",,"UNIVERSAL; PARA TODOS LOS AÑOS",
"300-0799-05","AJUSTE DE UNIDAD 76 VARIOS MODELOS TORNILLO: 12-28 X 2 USA",,"AJUSTES DE UNIDAD",,308,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-0799-05.jpg",,"CHRYSLER UNIVERSAL 1976-1976"," -- Modificado --"
"300-0699-07","AJUSTE DE UNIDAD AUTOS VARIOS MODELOS 12-28 X 2 USA",,"AJUSTES DE UNIDAD",,210,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-0699-07.jpg",,"CHEVROLET UNIVERSAL; PARA TODOS LOS AÑOS"," -- Modificado --"
"300-0699-09","AJUSTE DE UNIDAD VARIOS MODELOS /AMC TORNILLO 1/4-28X2 USA",,"AJUSTES DE UNIDAD",,232,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-0699-09.jpg",,"CHEVROLET UNIVERSAL; PARA TODOS LOS AÑOS"," -- Modificado --"
"300-0699-11","AJUSTE DE UNIDAD VARIOS MODELOS TORNILLO 1/4-28X2 USA",,"AJUSTES DE UNIDAD",,148,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-0699-11.jpg",,"CHEVROLET UNIVERSAL; PARA TODOS LOS AÑOS"," -- Modificado --"
"300-1230-06","AJUSTE DE UNIDAD FORD RANGER 1993-1997 /MZ 1994-1997 USA 5PZ",,"AJUSTES DE UNIDAD",,487,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-1230-06.jpg",,"FORD RANGER 1993-1997; MAZDA UNIVERSAL 1994-1997"," -- Modificado --"
"300-1241-03","AJUSTE DE UNIDAD AUTOS/PU 73 TORNILLO: 1/4-28 X 2 USA",,"AJUSTES DE UNIDAD",,237,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-1241-03.jpg",,"FORD UNIVERSAL; PARA TODOS LOS AÑOS",
"300-1243-01","AJUSTE DE UNIDAD PU 79 TORNILLO: 12-28X1-3/4 USA",,"AJUSTES DE UNIDAD",,321,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-1243-01.jpg",,"FORD PICK UP 1979-1979",
"300-3199-02","AJUSTE DE UNIDAD AMC/RENAULT TORNILLO: 1/4-28X2-1/4 USA",,"AJUSTES DE UNIDAD",,415,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-3199-02.jpg",,"VOLKSWAGEN UNIVERSAL; PARA TODOS LOS AÑOS; RENAULT UNIVERSAL; PARA TODOS LOS AÑOS",
"300-9999-04","AJUSTE DE UNIDAD Y UNIVERSAL # 2 TORNILLO 1/4-28X1-3/8 USA",,"AJUSTES DE UNIDAD",,519,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-9999-04.jpg",,"VOLKSWAGEN UNIVERSAL; PARA TODOS LOS AÑOS",
"300-9999-05","AJUSTE DE UNIDAD Y UNIVERSAL # 3 TORNILLO 1/4-28X1-3/8 USA",,"AJUSTES DE UNIDAD",,491,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/300-9999-05.jpg",,"VOLKSWAGEN UNIVERSAL; PARA TODOS LOS AÑOS",
"008-1209-00","ALERON FASCIA TRASERO FORD ESCAPE 2013-2015 DER",,"ALERONES TRASEROS",,3115,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/008-1209-00.jpg",,"FORD ESCAPE 2013-2015"," -- Modificado --"
"008-1209-01","ALERON FASCIA TRASERO FORD ESCAPE 2013-2015 IZQ",,"ALERONES TRASEROS",,3115,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/008-1209-01.jpg",,"FORD ESCAPE 2013-2015"," -- Modificado --"
"008-2006-02","ALERON FASCIA TRASERO MERCEDES BENZ SPRINTER 2003-2006 DER",,"ALERONES TRASEROS",,446,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/008-2006-02.jpg",,"MERCEDES BENZ SPRINTER 2003-2006"," -- Modificado --"
"008-2006-03","ALERON FASCIA TRASERO MERCEDES BENZ SPRINTER 2003-2006 IZQ",,"ALERONES TRASEROS",,446,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/008-2006-03.jpg",,"MERCEDES BENZ SPRINTER 2003-2006"," -- Modificado --"
"008-1313-00","ALERON TRASERO HONDA HR-V 2016-2017 P/PINTAR DER",,"ALERONES TRASEROS",,3758,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/008-1313-00.jpg",,"HONDA HR-V 2016-2017"," -- Modificado --"
"008-1313-01","ALERON TRASERO HONDA HR-V 2016-2017 P/PINTAR IZQ",,"ALERONES TRASEROS",,3758,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/008-1313-01.jpg",,"HONDA HR-V 2016-2017"," -- Modificado --"
"008-3015-02","ALERON TRASERO TOYOTA TACOMA 2016-2017 DER",,"ALERONES TRASEROS",,2142,,,,"http://www.qaccesorios.com.mx/Productos/Automotriz/008-3015-02.jpg",,"TOYOTA TACOMA 2016-2017"," -- Modificado --"
