id,Precio Nuevo
001-0317-00,2865
001-0317-01,2865
001-0403-00,482
001-0403-01,482
001-0505-00,2584
001-0505-01,470
001-0610-00,464
001-0610-01,464
001-0610-02,353
001-0610-03,353
001-0614-00,232
001-0614-01,232
001-0614-02,674
001-0614-03,674
001-0614-04,232
001-0614-05,183
001-0614-08,183
001-0614-10,146
001-0614-11,146
001-0615-00,808
001-0615-01,808
001-0615-05,183
001-0620-00,228
001-0620-01,228
001-0620-02,146
001-0620-03,146
001-0625-00,339
001-0625-01,339
001-0635-02,183
001-0642-00,183
001-0642-02,187
001-0642-03,187
001-0643-02,219
001-0643-03,219
001-0643-04,643
001-0643-05,643
001-0643-13,558
001-0643-18,183
001-0643-19,183
001-0645-00,183
001-0665-02,652
001-0665-03,652
001-0801-00,384
001-0801-01,384
001-0904-00,677
001-0904-01,677
001-0904-02,482
001-0904-03,482
001-0907-00,183
001-0912-00,117
001-0912-01,117
001-0913-00,183
001-0916-04,183
001-0916-05,183
001-0916-06,2888
001-0916-08,634
001-0916-09,634
001-1203-00,33
001-1209-00,1049
001-1209-01,1049
001-1209-02,830
001-1209-03,830
001-1215-02,183
001-1215-03,183
001-1215-04,183
001-1215-05,183
001-1217-00,139
001-1217-01,139
001-1217-02,228
001-1217-03,228
001-1219-00,201
001-1219-01,201
001-1221-00,446
001-1221-01,446
001-1221-02,406
001-1221-03,406
001-1230-01,88
001-1230-04,183
001-1230-05,183
001-1241-00,362
001-1241-01,362
001-1303-00,585
001-1303-01,585
001-1604-00,482
001-1604-01,482
001-1608-00,513
001-1608-01,513
001-2305-00,167
001-2305-01,167
001-2305-02,183
001-2305-03,183
001-2305-05,183
001-2305-08,183
001-2305-10,241
001-2305-11,241
001-2314-00,173
001-2314-01,173
001-2314-02,589
001-2321-00,146
001-2321-01,146
001-2321-02,99
001-2326-00,339
001-2326-01,339
001-2326-02,81
001-2326-03,81
001-2404-00,201
001-2404-01,201
001-3007-00,183
001-3010-00,116
001-3010-01,116
001-3010-04,96
001-3103-01,353
001-3111-00,527
001-3111-02,183
001-3111-03,183
001-3111-04,344
001-3111-05,344
001-3112-00,264
001-3112-01,264
001-3112-02,167
001-3112-04,146
001-3112-06,344
001-3112-07,344
001-3112-08,312
001-3112-09,312
001-3112-10,634
001-3112-11,634
001-3112-12,576
001-3115-00,558
001-3115-01,589
001-3115-02,183
001-3117-00,31
001-3302-00,517
001-3302-01,2288
001-9902-00,39
001-9902-01,39
001-9999-00,95
001-9999-01,95
001-9999-02,111
001-9999-17,181
001-9999-21,53
001-9999-29,40
002-0604-00,268
002-0615-00,183
002-0615-01,1567
002-0616-00,344
002-0629-00,478
002-0629-01,268
002-0629-02,157
002-0633-00,210
002-0635-00,299
002-0639-00,777
002-0639-01,844
002-0639-02,1567
002-0643-02,621
002-0646-00,219
002-0699-00,139
002-0801-00,124
002-0801-02,371
002-0801-03,371
002-0902-00,228
002-0916-00,415
002-0920-00,228
002-0943-00,371
002-0943-01,451
002-1209-00,536
002-1209-01,536
002-1210-00,536
002-1213-00,830
002-1214-00,527
002-1214-01,857
002-1214-02,683
002-1215-00,487
002-1217-00,411
002-1226-00,830
002-1228-00,527
002-1228-01,505
002-1228-02,505
002-1230-00,415
002-1230-01,487
002-1230-02,589
002-1230-03,424
002-1241-00,375
002-1243-01,146
