1,"(1 PZ) PERNO Y BUJE P/PTA CV P.U. Y CAMIONES"
2,"(10 PZ) SUJETADOR DE CABLES D.I. 11/32 PUL D.I. 1/2 PUL USA"
3,"(50 PZ) GRAPA P/HULE DE PTA RAMBL/RN 6.4MM (1/4 ) USA"
4,"10 PZ GUIA MANGUERA/CABLE D.I. 1/2 D.E 11/16 PUL USA"
5,"25 PZ RETENEDOR CHEV Y CHRY NAYLON NAT TMM 17/64 PUL USA"
6,"50 PZAS CBEZA PLANA C/RNDANA INT.NGA 8X1"
7,"6 PZ GUIA MANGUERA/CABLE D.I. 3/4 PUL D.E. 1 PUL USA"
8,"ABRAZAA CV CHEVY 94-12 JGO C/GOMA VARILLA ESTABILIZADORA"
9,"ABRAZAA CV CHEVY 99-03 2 PIEZAS"
10,"ABRAZAA DE BARRA CV SUBURBAN 63-91 ESTABILIZADORA"
11,"ABRAZAA DE BARRA CV SUBURBAN 63-91 INFERIOR"
12,"ACUMULADOR LTH LTX-22F-600"
13,"ADAPTADOR 252 VW"
14,"ADAPTADOR 330 FD TPZ/GUI(A) TODOS LOS MODELOS"
15,"ADAPTADOR 337 PT MTIZ 05"
16,"ADAPTADOR DE VOLANTE TYTA 84-93 AMER 134 CH"
17,"ADAPTADOR P/NS 463 SNTRA NO TODOS URVAN 01-05"
18,"AHORCADOR PARA CHICOTE CHICO LARGO 5MM DM 4MM 4PIEZAS"
19,"AHORCADOR PARA CHICOTE CHICO Largo: 5mm Diametro 6mm NAL"
20,"AHORCADOR PARA CHICOTE CHICO NAC (50 PZ)"
21,"AHORCADOR PARA CHICOTE MINI Largo: 5mm Diametro 4mm NAL"
22,"AHORCADOR PARA CHICOTE MINI NAC (50 PZ)"
23,"AJUSTADOR DE PUNTA NS TSURU 84-16"
24,"AJUSTE 12-28 X 3 3/16 CR MINI VANS 91 USA"
25,"AJUSTE DE UNIDAD 1/4-28 X 1 1/2 CV Y UNIV USA"
26,"AJUSTE DE UNIDAD 1/4-28 X 2 CV AUTOS #1 VERDE"
27,"AJUSTE DE UNIDAD 1/4-28 X 2 CV Y UNIV # 1 BLANCO USA"
28,"AJUSTE DE UNIDAD 1/4-28 X 2 CV Y UNIV # 2 USA"
29,"AJUSTE DE UNIDAD 1/4-28 X 2 CV Y UNIV # 3 1/4-28 X 2 USA"
30,"AJUSTE DE UNIDAD 12-28 X 2 CR 76 EN ADELANTE USA"
31,"AJUSTE DE UNIDAD 12-28 X 2 CV AUTOS USA"
32,"AJUSTE DE UNIDAD CR VARIOS MOD TORNILLO: 12-28 X2-1/2 LARGO USA"
33,"AJUSTE DE UNIDAD CR VARIOS MODELOS CORTO"
34,"AJUSTE DE UNIDAD CV AUTOS VARIOS MODELOS # 2 TORNILLO: 1/4-28X2 USA VERDE"
35,"AJUSTE DE UNIDAD CV AUTOS VARIOS MODELOS 12-28 X 2 USA"
36,"AJUSTE DE UNIDAD CV VARIOS MODELOS # 1 TORNILLO: 1/4-28X2 USA BLANCO"
37,"AJUSTE DE UNIDAD CV VARIOS MODELOS TORNILLO 1/4-28X2 USA"
38,"AJUSTE DE UNIDAD CV VARIOS MODELOS/AMC TORNILLO 1/4-28X2 USA"
