"CODIGO","NOMBRE","PRECIO","IMAGEN","CATEGORIA"
"12399","Top Lady","$294.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1259/12399_22.jpg","moda\transparencias"
"12393","Bella Top","$294.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/138/12393_k7.jpg","moda\transparencias"
"12398","Madonna Top","$294.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/141/12398_e1.jpg","moda\transparencias"
"12400","Madame Top","$294.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/149/12400_34.jpg","moda\transparencias"
"12401","Glamour Top","$294.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/152/12401_8k.jpg","moda\transparencias"
"12392","Leyla Top","$294.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/133/12392.jpg","moda\transparencias"
"LP5033","Protector de Talones","$59.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/371/LP5033_01.jpg","intima\cuidado-de-pies"
"LP5034","Beautiful Feet","$53.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/293/P_LP5034_93.jpg","intima\cuidado-de-pies"
"LP5038","Cover 5 Dedos","$160.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/297/LP5038_93_2.jpg","intima\cuidado-de-pies"
"LP5043","Protector con Gel Suavizante","$174.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/298/LP5043_04.jpg","intima\cuidado-de-pies"
"LP5044","Pasos Suaves Tactel","$125.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/302/LP5044_33.jpg","intima\cuidado-de-pies"
"LP5045","Pasos Suaves Algodón","$125.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/304/LP5045_36_2.jpg","intima\cuidado-de-pies"
"LP5035","Guante Anti-juanetes","$266.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/295/LP5035_93_2.jpg","intima\cuidado-de-pies"
"LT1010","Serúm Regenerative","$413.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/477/LT1010_01.jpg","cuidado-de-la-piel\crema-d-luz"
"P0883","Purifiqué Cepillo Eléctrico y Dermolimpiador","$413.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/501/P0883_01.jpg","cuidado-de-la-piel\crema-d-luz"
"LT1011","Contour D' Ojos","$258.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/479/LT1011_01.jpg","cuidado-de-la-piel\crema-d-luz"
"LT1012","Crème D' Luz","$364.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/481/LT1012_01.jpg","cuidado-de-la-piel\crema-d-luz"
"LT1013","Crème D' Noche","$350.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/483/LT1013_01.jpg","cuidado-de-la-piel\crema-d-luz"
"LT1016","Suero D' Minerales","$336.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/486/LT1016_02.jpg","cuidado-de-la-piel\crema-d-luz"
"LT1017","Programa completo D'luz Renovación Celular (5 Productos)","$1,547.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1060/LT1017.jpg","cuidado-de-la-piel\crema-d-luz"
"12260","Top Modeling","$328.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1470/12260.jpg","modelante\fajas"
"8300","Faja Lipo-Termo Activa","$973.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1040/8300oi17_1.jpg","modelante\fajas"
"0415","Faja Lifting Reductora","$262.50","https://chemisette-web.s3.amazonaws.com/uploads/color/image/538/0415_93_1.jpg","modelante\fajas"
"12262","Busto libre Faja modelante","$399.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/647/12262_93_3.jpg","modelante\fajas"
"0436","Corset Body Modelante Cerrado","$330.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/44/P_1435_93_3.jpg","modelante\fajas"
"11348","Anti-celulitis Emana Bermuda","$371.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/97/11348_93_3.jpg","modelante\fajas"
"1435","Corset Body Modelante","$468.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/564/1435_93_5.jpg","modelante\fajas"
"1472","Body Modelante","$349.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/173/1472_93_3.jpg","modelante\fajas"
"6418","Cinturella Pantyblusa","$559.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/573/6418_93.jpg","modelante\fajas"
"6420","Silueta Light Pantyblusa","$545.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/583/6420_80.jpg","modelante\fajas"
"6425","Faja Imperio Modelante","$364.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/694/6425_93_4.jpg","modelante\fajas"
"6426","Silueta Encaje corte Tanga","$385.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/261/6426_69.jpg","modelante\fajas"
"6427","Silueta Encaje corte Completo","$385.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/263/6427_69_5.jpg","modelante\fajas"
"6430","TOP MÍA REDUCTORA","$489.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/603/6430_80_2.jpg","modelante\fajas"
"6432","Bra Control","$378.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/635/6432_80.jpg","modelante\fajas"
"6433","Top Mia Reductora Elegance","$489.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/727/6433_oi17_3.jpg","modelante\fajas"
"7800","Fondo Compresión","$378.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/750/7800_93_1.jpg","modelante\fajas"
"8100","Faja para Brazos y Espalda Alta Tonificante","$552.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/283/8100_93_3.jpg","modelante\fajas"
"8200","Faja Chaleco Powernet Reductor","$595.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/744/8200_90.jpg","modelante\fajas"
"9001","Cinturilla Ideal 60","$251.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/771/9001_93_1.jpg","modelante\fajas"
