Palabra,Categoria,SubCategoria,SubSubCategoria,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4
TV,Imagen,Televisores,,Tamaño pantalla,,,
TV,Imagen,Televisores,,Tamaño pantalla,,,
TV,Imagen,Televisores,,Tamaño pantalla,,,
TV,Imagen,Televisores,,Tamaño pantalla,,,
TV,Imagen,Televisores,,Tamaño pantalla,,,
Reproductor DVD,Imagen,Reproductores,Reproductores de DVD,,,,
Reproductor Blu,Imagen,Reproductores,Reproductores de Blu-Ray,,,,
DVD Portatil,Imagen,Reproductores,DVD Portatil,,,,
Antena,Imagen,Accesorios,Antenas,,,,
Control Remoto,Imagen,Accesorios,Controles Remoto,,,,
Soporte TV,Imagen,Accesorios,Soportes para TV,,,,
Home Theater,Audio,Equipos de Música,Home Theaters,Potencia,,,
Minicomponente,Audio,Equipos de Música,Minicomponentes,Potencia,,,
Microcomponente,Audio,Equipos de Música,Microcomponentes,Potencia,,,
Parlante bluetooth,Audio,Parlantes,Parlantes Bluetooth,,,,
Estéreo,Audio,Auto Estéreos,Auto Estéreos,,,,
Amplificador,Audio,Audio Profesional,Amplificadores,,,,
All in one,Informática,PC´s de escritorio,All in one,,,,
Notebook,Informática,Notebooks,Notebooks,,,,
Tablet,Informática,Tablets,Tablets,,,,
Impresora,Informática,Impresoras / Tintas,Impresoras,,,,
Tinta,Informática,Impresoras / Tintas,Tintas,,,,
Disco Exteros,Informática,Almacenamiento,Discos Externos,,,,
Pendrive,Informática,Almacenamiento,Pendrives,,,,
Memoria,Informática,Almacenamiento,Memorias Digitales,,,,
Monitor,Informática,Monitores y Proyectores,Monitores,,,,
Proyector,Informática,Monitores y Proyectores,Proyectores,,,,
GPS,Informática,Monitores y Proyectores,GPS,,,,
Mouse,Informática,Accesorios,Mouse,,,,
Teclado,Informática,Accesorios,Teclados,,,,
Celular,Telefonía,Telefonía Celular,Celulares Libres,,,,
Smartphone,Telefonía,Telefonía Celular,Celulares Libres,,,,
Playstation,Consolas y Videojuegos,,,,,,
Xbox,Consolas y Videojuegos,,,,,,
Lavarropa,Electrohogar,Lavado y Secado,Lavarropas,,,,
Lavavajilla,Electrohogar,Lavado y Secado,Lavavajillas,,,,
Lavasecarropa,Electrohogar,Lavado y Secado,Lavasecarropas,,,,
Secarropa,Electrohogar,Lavado y Secado,Secarropas,,,,
Heladera,Electrohogar,Heladeras y Freezers,Heladeras,,,,
Freezer,Electrohogar,Heladeras y Freezers,Freezers,,,,
Cava,Electrohogar,Heladeras y Freezers,Cavas,,,,
Cocina Gas,Electrohogar,Cocinas y Purificadores,Cocinas a Gas,,,,
Cocina Eléctrica,Electrohogar,Cocinas y Purificadores,Cocinas Eléctricas,,,,
Campana,Electrohogar,Cocinas y Purificadores,Campanas,,,,
Purificadore,Electrohogar,Cocinas y Purificadores,Purificadores,,,,
Horno Eléctrico,Electrohogar,Hornos y Microondas,Hornos Eléctricos,,,,
Microonda,Electrohogar,Hornos y Microondas,Microondas,,,,
Termotanque Gas,Electrohogar,Termotanques,Termotanques a Gas,,,,
Termotanque a Gas,Electrohogar,Termotanques,Termotanques a Gas,,,,
Termotanque Eléctrico,Electrohogar,Termotanques,Termotanques Eléctricos,,,,
Calefon Gas,Electrohogar,Calefones,Calefones a Gas,,,,
Calefon Eléctrico,Electrohogar,Calefones,Calefones Eléctricos,,,,
Horno Empotrable,Electrohogar,Hornos y Anafes,Hornos Empotrables,,,,
Anafe,Electrohogar,Hornos y Anafes,Anafes,,,,
Filtro para Agua,Electrohogar,Otros,Filtros para Agua,,,,
Extractor baño,Electrohogar,Otros,Extractores para baño,,,,
Aire,Climatización,Aires acondicionados,,,,,
