Id,Titulo_P,Subtitulo_P,Descripcion,Valor,Marca,Categoria,Subcategoria,Sub_sub_categoria,URL_Redireccion,URL_Imagen_Principal,URL_Imagen_2,URL_Imagen_3,URL_Imagen_4,URL_Imagen_5,Tienda, Stock
"7585","Cartucho HP 950 Amarillo","Cartucho Amarillo HP"," ofrece alertas anticipados de bajo nivel de tinta. Forma parte del sistema de impresión integrado de HP.","00","HP","","","","http://www.carrefour.com.ar/informatica/impresoras-tintas/tintas/cartucho-hp-950-amarillo.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/8/886111609833.jpg","","","","","Carrefour",""
"10029","Sombrilla Playera Wind Aluminio Azul"," súper resistente!"," lo que le permite permanecer inalterable por más tiempo que otros géneros. Para mantener nuestros Muebles de Jardín es conveniente no utilizar lavadoras a presión para la limpieza. Secarlos con un paño luego de las lluvias. No exponerlos innecesariamente a los rayos ultravioletas. Guardarlos en el invierno.","00","","","","","http://www.carrefour.com.ar/jardin/muebles/parasoles-y-sombrillas/sombrilla-playa-alum-180-cm-azul.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3610882197445-02.jpg","","","","","Carrefour",""
"5865","Modelador de Cabello Ga.Ma Professional","Modelador GAMA Professional 4 hairclips 5 bandas elásticas Temperatura de Uso Profesional. Voltaje / Potencia: 700 watts. 2 velocidades.","Herramienta Profesional Capaz de Crear Múltiples Estilos y Looks. Voltaje / Potencia: 700 watts. 2 velocidades.","00","Ga.Ma","Cuidado Personal y Salud","Cuidado de la Mujer","Modeladores de Cabello","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-de-la-mujer/modeladoras-de-cabello/modelador-de-cabello-gama-professional.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8023277097568.jpg","","","","","Carrefour",""
"10027","Juego de Jardín Rona 6 Piezas Acero"," 4 sillones y sombrilla. Incluye almohadones"," lo que le permite permanecer inalterable por más tiempo que otros géneros. Para mantener nuestros Muebles de Jardín es conveniente no utilizar lavadoras a presión para la limpieza. Secarlos con un paño luego de las lluvias. No exponerlos innecesariamente a los rayos ultravioletas. Guardarlos en el invierno.","00","","","","","http://www.carrefour.com.ar/jardin/muebles/juegos-de-jardin/set-6-pzas-rona-mesa-red-4-sillones-s.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3610882107888-04_1.jpg","","","","","Carrefour",""
"14655","Escritorio Esquinero con 2 Cajones Teka"," con 2 cajones"," lo que evita quebraduras y roturas.","00","Centro Estant","","","","http://www.carrefour.com.ar/muebles/oficina/escritorios/escritorio-esquinero-con-2-cajones-teka.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798274750914_1.jpg","","","","","Carrefour",""
"14654","Escritorio Esquinero con 2 Cajones Wengue"," con 2 cajones"," lo que evita quebraduras y roturas.","00","Centro Estant","","","","http://www.carrefour.com.ar/muebles/oficina/escritorios/escritorio-esquinero-con-2-cajones-wengu.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798274750907_1.jpg","","","","","Carrefour",""
"14652","Escritorio con 2 Cajones Teka","Escritorio de madera MDF color teka con 2 cajones"," lo que evita quebraduras y roturas.","00","Centro Estant","","","","http://www.carrefour.com.ar/muebles/oficina/escritorios/escritorio-con-2-cajones-teka.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798274750341_1.jpg","","","","","Carrefour",""
"14646","Escritorio con 2 Cajones Wengue","Escritorio de madera MDF color wengue con 2 cajones."," lo que evita quebraduras y roturas.","00","Centro Estant","","","","http://www.carrefour.com.ar/muebles/oficina/escritorios/escritorio-con-2-cajones-wengue.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798009184366_2.jpg","","","","","Carrefour",""
"10018","Sombrilla Playera Wind Aluminio Blanca"," súper resistente!"," lo que le permite permanecer inalterable por más tiempo que otros géneros. Para mantener nuestros Muebles de Jardín es conveniente no utilizar lavadoras a presión para la limpieza. Secarlos con un paño luego de las lluvias. No exponerlos innecesariamente a los rayos ultravioletas. Guardarlos en el invierno.","00","","","","","http://www.carrefour.com.ar/jardin/muebles/parasoles-y-sombrillas/sombrilla-playa-alum-180-cm-blanca.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3609231876094-02.jpg","","","","","Carrefour",""
"10017","Sombrilla Playera Wind Aluminio Verde"," súper resistente!"," lo que le permite permanecer inalterable por más tiempo que otros géneros. Para mantener nuestros Muebles de Jardín es conveniente no utilizar lavadoras a presión para la limpieza. Secarlos con un paño luego de las lluvias. No exponerlos innecesariamente a los rayos ultravioletas. Guardarlos en el invierno.","00","","","","","http://www.carrefour.com.ar/jardin/muebles/parasoles-y-sombrillas/sombrilla-playa-alum-180-cm-verde.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3609231876063-02.jpg","","","","","Carrefour",""
