Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
Apartamento en Arriendo Bucaramanga LA AURORA,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/aurora-det-3154533.aspx,/Santander/Bucaramanga/Oriente/La Aurora,$ 980.000,3,2,1 a 8 años,1
Apartamento en Arriendo Piedecuesta Conjunto MirafloresValle Barro Blanco,www.fincaraiz.com.co/apartamento-en-arriendo/piedecuesta/conjunto_mirafloresvalle_barro_blanco-det-3160713.aspx,/Santander/Piedecuesta/Conjunto Mirafloresvalle Barro Blanco,$ 470.000,3,3,1 a 8 años,1
Apartamento en Arriendo Floridablanca PIEMONTI,www.fincaraiz.com.co/apartamento-en-arriendo/floridablanca/piemonti-det-2689466.aspx,/Santander/Floridablanca/Piemonti,$ 700.000,3,2,9 a 15 años,
Apartamento en Arriendo Bucaramanga Provenza San Lorenzo 2,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/provenza_san_lorenzo-det-3069209.aspx,/Santander/Bucaramanga/Provenza San Lorenzo 2,$ 800.000,2,2,1 a 8 años,1
Apartamento en Arriendo Bucaramanga La Ceiba,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/ceiba-det-3168773.aspx,/Santander/Bucaramanga/La Ceiba,$ 800.000,2,2,,
Apartamento en Arriendo Bucaramanga Provenza,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/provenza-det-3168703.aspx,/Santander/Bucaramanga/Provenza,$ 1.600.000,5,3,1 a 8 años,
Apartamento en Arriendo Bucaramanga San Alonso,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/san_alonso-det-3168342.aspx,/Santander/Bucaramanga/San Alonso,$ 1.105.000,3,2,,
Apartamento en Arriendo Bucaramanga La Joya,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/joya-det-3168230.aspx,/Santander/Bucaramanga/La Joya,$ 700.000,3,2,,
Apartamento en Arriendo Bucaramanga ruitoque,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/ruitoque-det-3168062.aspx,/Santander/Bucaramanga/Ruitoque,$ 800.000,2,2,1 a 8 años,1
Apartamento en Arriendo Bucaramanga BALCONES DE LA COLINA,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/balcones_colina-det-3168058.aspx,/Santander/Bucaramanga/Balcones De La Colina,$ 900.000,3,2,1 a 8 años,1
Apartamento en Arriendo Piedecuesta paseo real,www.fincaraiz.com.co/apartamento-en-arriendo/piedecuesta/paseo_real-det-3168041.aspx,/Santander/Piedecuesta/Paseo Real,$ 500.000,3,2,,
Apartamento en Arriendo Bucaramanga Coaviconsa,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/coaviconsa-det-3167950.aspx,/Santander/Bucaramanga/Coaviconsa,$ 700.000,3,2,9 a 15 años,1
Apartamento en Arriendo Bucaramanga ANTONIA SANTOS,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/antonia_santos-det-3121714.aspx,/Santander/Bucaramanga/Antonia Santos,$ 750.000,4,3,16 a 30 años,
Apartamento en Arriendo Floridablanca BUCARICA,www.fincaraiz.com.co/apartamento-en-arriendo/floridablanca/bucarica-det-3167931.aspx,/Santander/Floridablanca/Bucarica,$ 600.000,3,1,16 a 30 años,
Apartamento en Arriendo Piedecuesta Portal de la loma,www.fincaraiz.com.co/apartamento-en-arriendo/piedecuesta/portal_loma-det-3167822.aspx,/Santander/Piedecuesta/Portal De La Loma,$ 700.000,3,2,1 a 8 años,1
Apartamento en Arriendo Bucaramanga San francisco premium,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/san_francisco_premium-det-3167604.aspx,/Santander/Bucaramanga/Oriente/San Francisco Premium,$ 850.000,3,2,1 a 8 años,1
Apartamento en Arriendo Bucaramanga real de minas,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/real_minas-det-3167550.aspx,/Santander/Bucaramanga/Real De Minas,$ 985.000,3,2,,
Apartamento en Arriendo Bucaramanga san alonso,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/san_alonso-det-3167332.aspx,/Santander/Bucaramanga/San Alonso,$ 760.000,2,2,Menos de 1 año,1
Apartamento en Arriendo Bucaramanga ALARCON,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/alarcon-det-3165204.aspx,/Santander/Bucaramanga/Alarcon,$ 770.000,3,2,,
Apartamento en Arriendo Bucaramanga ALARCON,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/alarcon-det-2663396.aspx,/Santander/Bucaramanga/Alarcon,$ 770.000,3,2,,
Apartamento en Arriendo Floridablanca Cañaveral,www.fincaraiz.com.co/apartamento-en-arriendo/floridablanca/canaveral-det-1948207.aspx,/Santander/Floridablanca/Cañaveral,$ 950.000,3,2,,1
Apartamento en Arriendo Bucaramanga SAN ALONSO,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/san_alonso-det-3073647.aspx,/Santander/Bucaramanga/Oriente/San Alonso,$ 830.000,3,2,1 a 8 años,1
Apartamento en Arriendo Floridablanca altos de bella vista,www.fincaraiz.com.co/apartamento-en-arriendo/floridablanca/altos_bella_vista-det-3112822.aspx,/Santander/Floridablanca/Altos De Bella Vista,$ 550.000,2,1,9 a 15 años,1
Apartamento en Arriendo Floridablanca CAÑAVERAL,www.fincaraiz.com.co/apartamento-en-arriendo/floridablanca/canaveral-det-3093913.aspx,/Santander/Floridablanca/Cañaveral,$ 800.000,3,2,9 a 15 años,1
Apartamento en Arriendo Floridablanca CAÑAVERAL,www.fincaraiz.com.co/apartamento-en-arriendo/floridablanca/canaveral-det-3106328.aspx,/Santander/Floridablanca/Cañaveral,$ 900.000,3,2,1 a 8 años,1
Apartamento en Arriendo Bucaramanga Barrio Bolivar,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/barrio_bolivar-det-3166573.aspx,/Santander/Bucaramanga/Barrio Bolivar,$ 750.000,2,2,,
Apartamento en Arriendo Bucaramanga san alonso,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/san_alonso-det-3166363.aspx,/Santander/Bucaramanga/San Alonso,$ 1.300.000,3,3,,
Apartamento en Arriendo Bucaramanga Barrio Bolivar,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/barrio_bolivar-det-3166315.aspx,/Santander/Bucaramanga/Barrio Bolivar,$ 750.000,2,2,,
Apartamento en Arriendo Bucaramanga LA UNIVERSIDAD,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/universidad-det-3127187.aspx,/Santander/Bucaramanga/La Universidad,$ 1.200.000,4,2,9 a 15 años,
Apartamento en Arriendo Bucaramanga EL BOSQUE,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/bosque-det-3146059.aspx,/Santander/Bucaramanga/El Bosque,$ 620.000,3,2,,
Apartamento en Arriendo Bucaramanga RICAURTE,www.fincaraiz.com.co/apartamento-en-arriendo/bucaramanga/ricaurte-det-2726390.aspx,/Santander/Bucaramanga/Ricaurte,$ 700.000,3,2,,
Apartamento en Arriendo Floridablanca Cañaveral,www.fincaraiz.com.co/apartamento-en-arriendo/floridablanca/canaveral-det-3166213.aspx,/Santander/Floridablanca/Cañaveral,$ 900.000,3,2,9 a 15 años,
