Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/torremolinos-casas-campestres/4212-C00009-01,,$1.040.000.000,3,5 o más,,
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-casas-3/1572-C00012-01,,$1.295.000.000,4,5 o más,,
,http://www.metrocuadrado.com/proyecto/camino-del-bosque/5449-C00003-01,,$3.900.000.000,4,5 o más,,
Casa en Venta; Bogotá D.C.; MINUTO DE DIOS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-paris-gaitan-5-habitaciones-5-banos-3-garajes/2627-262763,,$510.000.000,5 o más,5 o más,,3
Casa en Venta y arriendo; Bogotá D.C.; SANTA ANA ORIENTAL,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-santa-ana-oriental-3-habitaciones-5-banos-2-garajes/3858-2285,,$11.800.000,3,5 o más,,2
Casa en Venta; Bogotá D.C.; TEUSAQUILLO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-teusaquillo-5-habitaciones-0-banos-1-garajes/5564-500822,,$1.700.000.000,5 o más,,,1
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-4-habitaciones-4-banos-0-garajes/771-9108,,$1.750.000.000,4,4,,
Casa en Venta; Bogotá D.C.; NUEVA MARSELLA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-nueva-marsella-i-4-habitaciones-5-banos-2-garajes/4853-M1970381,,$550.000.000,4,5 o más,,2
Casa en Venta; Bogotá D.C.; POTOSI PONTEVEDRA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-potosi-5-habitaciones-4-banos-3-garajes/5161-M1970371,,$1.100.000.000,5 o más,4,,3
Casa en Venta; Bogotá D.C.; ALTOS DE SOTILEZA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-niza-suba-5-habitaciones-5-banos-4-garajes/5161-M1970362,,$1.750.000.000,5 o más,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; PONTEVEDRA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-potosi-4-habitaciones-3-banos-4-garajes/5161-M1970368,,$1.100.000.000,4,3,,4 o más
Casa en Venta; Bogotá D.C.; SAN FELIPE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-felipe-5-habitaciones-5-banos-2-garajes/4853-M1970375,,$1.600.000.000,5 o más,5 o más,,2
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-antonio-nor-occidental-4-habitaciones-5-banos-4-garajes/2748-M1970345,,$2.050.000.000,4,5 o más,,4 o más
