Sku;Departamento;Género;Categoria;Url;Nombre;Tallas;Existencias;Detalle;Descripcion;Imagenes
"ID-133668";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-holly-land-102c";"ABRIGO HOLLY LAND 102C";"M,XG";"VALLEJO [CH]0 [M]0 [G]0 [XG]0 [XXG]0
VERACRUZ [CH]0 [M]0 [G]0 [XG]0 [XXG]0
LEON [CH]1 [M]0 [G]0 [XG]1 [XXG]0
IZTAPALAPA [CH]6 [M]0 [G]1 [XG]1 [XXG]0
ECATEPEC [CH]0 [M]0 [G]0 [XG]0 [XXG]0
NAUCALPAN [CH]0 [M]0 [G]0 [XG]0 [XXG]0
OLIVAR DEL CONDE [CH]0 [M]0 [G]0 [XG]0 [XXG]0
CENTRO HISTORICO [CH]0 [M]0 [G]0 [XG]0 [XXG]0
QUERETARO [CH]0 [M]0 [G]0 [XG]0 [XXG]0
IXTAPALUCA [CH]0 [M]0 [G]0 [XG]0 [XXG]1
GUADALAJARA [CH]0 [M]0 [G]0 [XG]0 [XXG]0
TOLUCA [CH]0 [M]2 [G]0 [XG]0 [XXG]0
PUEBLA [CH]0 [M]0 [G]0 [XG]0 [XXG]0
AGUASCALIENTES [CH]9 [M]1 [G]20 [XG]1 [XXG]0
GUADALAJARA MIRAVALLE [CH]4 [M]9 [G]7 [XG]1 [XXG]0
ARCO NORTE [CH]1 [M]0 [G]0 [XG]0 [XXG]0
";"Abrigo marca Holly Land. Cuello con solapa y capucha , manga larga con botones al frente y bolsas laterales; aplicación de cintas en cintura. Fabrica de poliuretano con forro en poliéster. Luce hermosa en esta temporada con este hermoso abrigo.";"Departamento: Ropa
Talla Ropa: N/A
Género: DAMA
Marca Price: HOLLY LAND
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: ABIERTO BOTON
Largo: MEDIO
Cuello: CON SOLAPA";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/3/133657-1.jpg";
"ID-130031";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-holly-land-hutz-rojo";"ABRIGO HOLLY LAND HUTZ";"XCH,CH";"VALLEJO [XCH]1 [CH]6 [M]0 [G]0 [XG]0 [XXG] 
VERACRUZ [XCH]1 [CH]0 [M]0 [G]0 [XG]0 [XXG] 
LEON [XCH]5 [CH]17 [M]0 [G]0 [XG]0 [XXG] 
IZTAPALAPA [XCH]3 [CH]20 [M]3 [G]5 [XG]1 [XXG] 
ECATEPEC [XCH]8 [CH]26 [M]0 [G]1 [XG]0 [XXG] 
NAUCALPAN [XCH]1 [CH]1 [M]2 [G]3 [XG]1 [XXG] 
OLIVAR DEL CONDE [XCH]0 [CH]3 [M]3 [G]6 [XG]1 [XXG] 
CENTRO HISTORICO [XCH]0 [CH]5 [M]0 [G]0 [XG]0 [XXG] 
QUERETARO [XCH]1 [CH]8 [M]0 [G]0 [XG]0 [XXG] 
IXTAPALUCA [XCH]1 [CH]6 [M]1 [G]0 [XG]0 [XXG] 
GUADALAJARA [XCH]0 [CH]3 [M]0 [G]0 [XG]0 [XXG] 
TOLUCA [XCH]0 [CH]3 [M]0 [G]0 [XG]0 [XXG] 
PUEBLA [XCH]0 [CH]5 [M]0 [G]0 [XG]0 [XXG] 
AGUASCALIENTES [XCH]9 [CH]9 [M]4 [G]0 [XG]0 [XXG] 
GUADALAJARA MIRAVALLE [XCH]3 [CH]7 [M]11 [G]7 [XG]1 [XXG] 
ARCO NORTE [XCH]9 [CH]2 [M]0 [G]2 [XG]0 [XXG] 
";"Abrigo marca Holly Land. Abrigo cruzado con botones y capucha. Cuello redondo y acabado en textil como detalle, cinta en cintura ajustable. Fabricado en 100% poliéster.";"Departamento: Ropa
Talla Ropa: N/A
Género: DAMA
Marca Price: HOLLY LAND
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: ABIERTO BOTON
Largo: MEDIO
Cuello: ALTO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/3/130031-1_1_1.jpg";
"ID-155985";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-schatz-woman-aupe-304921";"ABRIGO CASUAL SCHATZ WOMAN AUPE";"G,XG";"VALLEJO [XCH]0 [CH]0 [M]8 [G]24 [XG]20 [XXG]13
VERACRUZ [XCH]0 [CH]0 [M]2 [G]1 [XG]0 [XXG]0
LEON [XCH]6 [CH]0 [M]0 [G]0 [XG]12 [XXG]5
IZTAPALAPA [XCH]1 [CH]0 [M]2 [G]23 [XG]12 [XXG]5
ECATEPEC [XCH]44 [CH]0 [M]0 [G]3 [XG]14 [XXG]3
NAUCALPAN [XCH]11 [CH]0 [M]0 [G]0 [XG]6 [XXG]4
OLIVAR DEL CONDE [XCH]8 [CH]1 [M]1 [G]5 [XG]4 [XXG]2
CENTRO HISTORICO [XCH]1 [CH]0 [M]0 [G]5 [XG]0 [XXG]0
QUERETARO [XCH]0 [CH]1 [M]0 [G]12 [XG]12 [XXG]8
IXTAPALUCA [XCH]6 [CH]1 [M]2 [G]7 [XG]14 [XXG]4
GUADALAJARA [XCH]4 [CH]0 [M]0 [G]2 [XG]12 [XXG]3
TOLUCA [XCH]4 [CH]0 [M]0 [G]13 [XG]14 [XXG]15
PUEBLA [XCH]9 [CH]0 [M]0 [G]15 [XG]23 [XXG]4
AGUASCALIENTES [XCH]0 [CH]1 [M]2 [G]2 [XG]10 [XXG]2
GUADALAJARA MIRAVALLE [XCH]1 [CH]9 [M]0 [G]1 [XG]0 [XXG]0
ARCO NORTE [XCH]0 [CH]3 [M]0 [G]5 [XG]1 [XXG]0
";"ABRIGO CASUAL SCHATZ WOMAN AUPE";"Departamento: Ropa
Talla Ropa: N/A
Género: No
Marca Price: No
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: CRUZADO BOTON
Largo: MEDIO
Cuello: ALTO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/5/155985-2.jpg";
"ID-155986";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-schatz-woman-aupe-304922";"ABRIGO CASUAL SCHATZ WOMAN AUPE";"XCH,CH,M,G,XG,XXG";"VALLEJO [XCH]49 [CH]113 [M]132 [G]152 [XG]106 [XXG]16
VERACRUZ [XCH]7 [CH]21 [M]41 [G]29 [XG]18 [XXG]5
LEON [XCH]23 [CH]44 [M]57 [G]55 [XG]43 [XXG]10
IZTAPALAPA [XCH]45 [CH]46 [M]137 [G]118 [XG]82 [XXG]25
ECATEPEC [XCH]52 [CH]130 [M]157 [G]107 [XG]89 [XXG]15
NAUCALPAN [XCH]10 [CH]26 [M]51 [G]45 [XG]14 [XXG]3
OLIVAR DEL CONDE [XCH]27 [CH]32 [M]24 [G]34 [XG]25 [XXG]1
CENTRO HISTORICO [XCH]25 [CH]30 [M]45 [G]49 [XG]52 [XXG]49
QUERETARO [XCH]7 [CH]13 [M]31 [G]6 [XG]3 [XXG]2
IXTAPALUCA [XCH]16 [CH]20 [M]18 [G]0 [XG]14 [XXG]2
GUADALAJARA [XCH]17 [CH]14 [M]17 [G]21 [XG]4 [XXG]3
TOLUCA [XCH]13 [CH]12 [M]41 [G]22 [XG]28 [XXG]3
PUEBLA [XCH]32 [CH]62 [M]173 [G]96 [XG]57 [XXG]57
AGUASCALIENTES [XCH]0 [CH]6 [M]15 [G]19 [XG]1 [XXG]1
GUADALAJARA MIRAVALLE [XCH]6 [CH]3 [M]7 [G]10 [XG]26 [XXG]1
ARCO NORTE [XCH]32 [CH]31 [M]68 [G]82 [XG]50 [XXG]4
";"ABRIGO CASUAL SCHATZ WOMAN AUPE";"Departamento: Ropa
Talla Ropa: No
Género: No
Marca Price: No
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: CRUZADO BOTON
Largo: MEDIO
Cuello: ALTO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/5/155986-1_2.jpg";
"ID-166535";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-schatz-woman-ca25";"ABRIGO CASUAL SCHATZ WOMAN CA25";"XCH,CH,M,G";"VALLEJO [XCH]17 [CH]4 [M]9 [G]3 [XG]12 [XXG]7
VERACRUZ [XCH]2 [CH]2 [M]5 [G]11 [XG]1 [XXG]0
LEON [XCH]7 [CH]24 [M]31 [G]13 [XG]1 [XXG]3
IZTAPALAPA [XCH]17 [CH]33 [M]60 [G]4 [XG]0 [XXG]0
ECATEPEC [XCH]31 [CH]82 [M]22 [G]7 [XG]3 [XXG]0
NAUCALPAN [XCH]7 [CH]4 [M]1 [G]1 [XG]1 [XXG]0
OLIVAR DEL CONDE [XCH]8 [CH]4 [M]2 [G]1 [XG]19 [XXG]14
CENTRO HISTORICO [XCH]0 [CH]6 [M]1 [G]0 [XG]1 [XXG]0
QUERETARO [XCH]10 [CH]12 [M]5 [G]0 [XG]0 [XXG]1
IXTAPALUCA [XCH]8 [CH]1 [M]0 [G]0 [XG]14 [XXG]1
GUADALAJARA [XCH]15 [CH]3 [M]0 [G]0 [XG]3 [XXG]0
TOLUCA [XCH]12 [CH]3 [M]4 [G]1 [XG]0 [XXG]0
PUEBLA [XCH]17 [CH]9 [M]55 [G]22 [XG]9 [XXG]0
AGUASCALIENTES [XCH]7 [CH]23 [M]5 [G]2 [XG]4 [XXG]2
GUADALAJARA MIRAVALLE [XCH]2 [CH]4 [M]2 [G]4 [XG]0 [XXG]1
ARCO NORTE [XCH]5 [CH]13 [M]18 [G]29 [XG]2 [XXG]0
";"ABRIGO CASUAL SCHATZ WOMAN CA25";"Departamento: Ropa
Talla Ropa: XCH
Género: DAMA
Marca Price: SCHATZ WOMAN
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: CRUZADO BOTON
Largo: MEDIO
Cuello: ALTO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/6/166535-1.jpg";
"ID-166720";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-holly-land-vt03";"ABRIGO CASUAL HOLLY LAND VT03";"XCH,CH,M,G,XG,XXG";"VALLEJO [XCH]23 [CH]165 [M]320 [G]142 [XG]115 [XXG]12
VERACRUZ [XCH]8 [CH]25 [M]40 [G]8 [XG]2 [XXG]7
LEON [XCH]83 [CH]127 [M]245 [G]180 [XG]151 [XXG]60
IZTAPALAPA [XCH]44 [CH]58 [M]326 [G]243 [XG]124 [XXG]10
ECATEPEC [XCH]181 [CH]98 [M]162 [G]244 [XG]209 [XXG]48
NAUCALPAN [XCH]23 [CH]20 [M]12 [G]38 [XG]13 [XXG]13
OLIVAR DEL CONDE [XCH]24 [CH]3 [M]19 [G]7 [XG]26 [XXG]5
CENTRO HISTORICO [XCH]40 [CH]12 [M]58 [G]31 [XG]80 [XXG]3
QUERETARO [XCH]12 [CH]29 [M]49 [G]35 [XG]66 [XXG]5
IXTAPALUCA [XCH]0 [CH]15 [M]35 [G]58 [XG]4 [XXG]1
GUADALAJARA [XCH]31 [CH]2 [M]44 [G]76 [XG]10 [XXG]16
TOLUCA [XCH]28 [CH]62 [M]45 [G]31 [XG]2 [XXG]1
PUEBLA [XCH]53 [CH]109 [M]157 [G]160 [XG]5 [XXG]3
AGUASCALIENTES [XCH]7 [CH]14 [M]52 [G]59 [XG]37 [XXG]25
GUADALAJARA MIRAVALLE [XCH]18 [CH]10 [M]2 [G]2 [XG]13 [XXG]3
ARCO NORTE [XCH]111 [CH]6 [M]36 [G]68 [XG]55 [XXG]7
";"ABRIGO CASUAL HOLLY LAND VT03";"Departamento: Ropa
Talla Ropa: No
Género: DAMA
Marca Price: HOLLY LAND
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: CRUZADO BOTON
Largo: MEDIO
Cuello: CON SOLAPA";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/6/166720-1.jpg";
"ID-155972";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-holly-land-8129";"ABRIGO CASUAL HOLLY LAND 8129";"G";"VALLEJO [XCH]0 [CH]13 [M]22 [G]15 [XG]0 [XXG]3
VERACRUZ [XCH]0 [CH]0 [M]0 [G]1 [XG]2 [XXG]0
LEON [XCH]0 [CH]3 [M]64 [G]16 [XG]10 [XXG]1
IZTAPALAPA [XCH]2 [CH]13 [M]66 [G]0 [XG]8 [XXG]0
ECATEPEC [XCH]2 [CH]4 [M]1 [G]19 [XG]1 [XXG]3
NAUCALPAN [XCH]0 [CH]3 [M]0 [G]1 [XG]0 [XXG]2
OLIVAR DEL CONDE [XCH]0 [CH]1 [M]0 [G]2 [XG]3 [XXG]0
CENTRO HISTORICO [XCH]1 [CH]4 [M]2 [G]0 [XG]1 [XXG]2
QUERETARO [XCH]5 [CH]0 [M]5 [G]2 [XG]1 [XXG]1
IXTAPALUCA [XCH]1 [CH]1 [M]0 [G]0 [XG]0 [XXG]0
GUADALAJARA [XCH]0 [CH]16 [M]2 [G]0 [XG]0 [XXG]1
TOLUCA [XCH]0 [CH]2 [M]10 [G]1 [XG]0 [XXG]2
PUEBLA [XCH]0 [CH]1 [M]0 [G]2 [XG]4 [XXG]1
AGUASCALIENTES [XCH]0 [CH]0 [M]1 [G]1 [XG]0 [XXG]0
GUADALAJARA MIRAVALLE [XCH]0 [CH]0 [M]0 [G]7 [XG]0 [XXG]0
ARCO NORTE [XCH]0 [CH]1 [M]0 [G]24 [XG]4 [XXG]0
";"ABRIGO CASUAL HOLLY LAND 8129";"Departamento: Ropa
Talla Ropa: XCH
Género: DAMA
Marca Price: HOLLY LAND
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: CRUZADO BOTON
Largo: MEDIO
Cuello: ALTO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/5/155972-1.jpg";
"ID-166464";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-sao-paulo-1205";"ABRIGO CASUAL SAO PAULO 1205";"AGOTADO";"VALLEJO [XCH]0 [CH]14 [M]1 [G]4 [XG]0 [XXG]0
VERACRUZ [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
LEON [XCH]1 [CH]1 [M]1 [G]6 [XG]0 [XXG]6
IZTAPALAPA [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
ECATEPEC [XCH]0 [CH]0 [M]3 [G]1 [XG]0 [XXG]0
NAUCALPAN [XCH]0 [CH]0 [M]0 [G]1 [XG]0 [XXG]0
OLIVAR DEL CONDE [XCH]2 [CH]0 [M]1 [G]0 [XG]0 [XXG]0
CENTRO HISTORICO [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
QUERETARO [XCH]4 [CH]9 [M]15 [G]11 [XG]6 [XXG]0
IXTAPALUCA [XCH]0 [CH]0 [M]1 [G]0 [XG]0 [XXG]0
GUADALAJARA [XCH]0 [CH]1 [M]0 [G]0 [XG]2 [XXG]7
TOLUCA [XCH]2 [CH]1 [M]6 [G]6 [XG]5 [XXG]1
PUEBLA [XCH]0 [CH]0 [M]1 [G]1 [XG]2 [XXG]0
AGUASCALIENTES [XCH]1 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
GUADALAJARA MIRAVALLE [XCH]2 [CH]3 [M]4 [G]0 [XG]3 [XXG]1
ARCO NORTE [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
";"ABRIGO CASUAL SAO PAULO 1205";"Departamento: Ropa
Talla Ropa: XCH
Género: DAMA
Marca Price: SAO PAULO
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: ABIERTO CIERRE
Largo: MEDIO
Cuello: ALTO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/6/166464-1.jpg";
"ID-166616";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-holly-land-ites";"ABRIGO CASUAL HOLLY LAND ITES";"AGOTADO";"VALLEJO [XCH]0 [CH]1 [M]0 [G]1 [XG]0 [XXG]0
VERACRUZ [XCH]0 [CH]0 [M]0 [G]1 [XG]0 [XXG]0
LEON [XCH]0 [CH]0 [M]1 [G]1 [XG]0 [XXG]0
IZTAPALAPA [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
ECATEPEC [XCH]0 [CH]0 [M]0 [G]0 [XG]1 [XXG]0
NAUCALPAN [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]1
OLIVAR DEL CONDE [XCH]0 [CH]0 [M]1 [G]0 [XG]0 [XXG]0
CENTRO HISTORICO [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]1
QUERETARO [XCH]0 [CH]5 [M]13 [G]0 [XG]5 [XXG]0
IXTAPALUCA [XCH]0 [CH]0 [M]0 [G]0 [XG]1 [XXG]0
GUADALAJARA [XCH]0 [CH]0 [M]0 [G]1 [XG]0 [XXG]0
TOLUCA [XCH]0 [CH]0 [M]0 [G]0 [XG]1 [XXG]1
PUEBLA [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]1
AGUASCALIENTES [XCH]0 [CH]0 [M]0 [G]0 [XG]1 [XXG]0
GUADALAJARA MIRAVALLE [XCH]0 [CH]0 [M]0 [G]0 [XG]2 [XXG]0
ARCO NORTE [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
";"ABRIGO CASUAL HOLLY LAND ITES";"Departamento: Ropa
Talla Ropa: XCH
Género: DAMA
Marca Price: HOLLY LAND
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: ABIERTO BOTON
Largo: MEDIO
Cuello: ESCOTE/CUELLO REDONDO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/6/166616-1.jpg";
"ID-166617";"Ropa";"Dama";"Abrigos";"http://www.priceshoes.com/abrigo-casual-holly-land-ites-368253";"ABRIGO CASUAL HOLLY LAND ITES";"AGOTADO";"VALLEJO [XCH]0 [CH]1 [M]0 [G]0 [XG]0 [XXG]0
VERACRUZ [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
LEON [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
IZTAPALAPA [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
ECATEPEC [XCH]2 [CH]1 [M]0 [G]1 [XG]0 [XXG]0
NAUCALPAN [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
OLIVAR DEL CONDE [XCH]0 [CH]0 [M]1 [G]0 [XG]0 [XXG]0
CENTRO HISTORICO [XCH]0 [CH]0 [M]0 [G]0 [XG]2 [XXG]0
QUERETARO [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
IXTAPALUCA [XCH]0 [CH]1 [M]0 [G]0 [XG]0 [XXG]0
GUADALAJARA [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
TOLUCA [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
PUEBLA [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
AGUASCALIENTES [XCH]0 [CH]0 [M]0 [G]1 [XG]0 [XXG]0
GUADALAJARA MIRAVALLE [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
ARCO NORTE [XCH]0 [CH]0 [M]0 [G]0 [XG]0 [XXG]0
";"ABRIGO CASUAL HOLLY LAND ITES";"Departamento: Ropa
Talla Ropa: No
Género: DAMA
Marca Price: HOLLY LAND
Categoría: SACOS Y ABRIGOS
Material: TEXTIL
Manga: LARGA
Frente: ABIERTO BOTON
Largo: MEDIO
Cuello: ESCOTE/CUELLO REDONDO";"http://smhttp.50034.nexcesscdn.net/8027CAA/tiendaenlinea/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/1/6/166617-1.jpg";
