Sku-Estilo;Categoria;Url;Nombre;Fotos;Tallas;Notas;Colores;Ficha Tecnica
"C0250";"Caballero";"https://www.yazbek.com.mx/item/playera-jaspe.html?id=4577";"Playera Cuello Redondo Manga Corta Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0250.swf";"CH, M, G, EG";"Peso: 180 g/m2 Tejido:Chifón 50% algodón 50% poliéster.";"Negro, Naranja, Royal, Marrón, Morado";"Link Ficha Tecnica";
"C0300";"Caballero";"https://www.yazbek.com.mx/item/playera-peso-completo.html?id=4577";"Playera Peso Completo Cuello Redondo Manga Corta Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0300.swf";"CH, M, G, EG";"Peso*: 200 g/m2 *Peso en color oscuro Tejido:Chifón 100% algodón. *Jaspe 90% algodón y 10% poliéster";"Azul Claro, Negro, Blanco, Canario, Mango, Jade Oscuro, Naranja, Beige, Pistache, Ladrillo, Ocre, Carbon, Mostaza, Celeste, Rosa Pastel, Lima, Royal, Jade, Verde Bosque, Fiusha, Turquesa, Marrón, Morado, Marino, Plata, Rojo, Delfin, Arena, Moka, Chocolate, Olivo";"Link Ficha Tecnica";
"C0304";"Caballero";"https://www.yazbek.com.mx/item/playera-manga-larga.html?id=4577";"Playera Peso Completo Cuello Redondo Manga Larga Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0304.swf";"CH, M, G, EG";"Peso*: 200 g/m2 *Peso en color oscuro Tejido: Chifón 100% algodón. *Jaspe 90% algodón y 10% poliéster";"Negro, Blanco, Mango, Jade Oscuro, Royal, Jade, Marino, Rojo, Chocolate, Olivo";"Link Ficha Tecnica";
"C0306";"Caballero";"https://www.yazbek.com.mx/item/c0306.html?id=4577";"Playera Cuello V Manga Corta Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0306.swf";"CH, M, G, EG";"Peso*: 170 g/m2 *Peso en color oscuro Tejido:Chifón 100% algodón.";"Negro, Blanco, Marino";"Link Ficha Tecnica";
"C0310";"Caballero";"https://www.yazbek.com.mx/item/playera-sin-mangas.html?id=4577";"Playera Peso Completo Cuello Redondo Sin Mangas Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0310.swf";"CH, M, G, EG";"Peso*: 200 g/m2 *Peso en color oscuro Tejido: Chifón 100% algodón. *Jaspe 90% algodón y 10% poliéster";"Negro, Blanco, Mango, Jade Oscuro, Naranja, Royal, Jade, Marino, Rojo";"Link Ficha Tecnica";
"C0500";"Caballero";"https://www.yazbek.com.mx/item/playera-tipo-polo.html?id=4577";"Playera Tipo Polo Piqué Para Paballero.";"https://www.yazbek.com.mx/files/selector/c0500.swf";"CH, M, G, EG";"Peso*: 235 g/m2 *Peso en color oscuro Tejido: Piqué 100% algodón. *Jaspe 90% algodón y 10% poliéster";"Negro, Blanco, Mango, Jade Oscuro, Naranja, Beige, Celeste, Royal, Verde Bosque, Marrón, Marino, Rojo, Chocolate";"Link Ficha Tecnica";
"D0250";"Dama";"https://www.yazbek.com.mx/item/playera-jaspe-dama.html?id=4578";"Playera Cuello Redondo Manga Corta Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0250.swf";"CH, M, G, EG";"Peso: 180 g/m2 Tejido:Chifón 50% algodón 50% poliéster.";"Negro, Naranja, Royal, Marrón, Morado";"Link Ficha Tecnica";
"D0300";"Dama";"https://www.yazbek.com.mx/item/playera-para-dama.html?id=4578";"Playera Peso Completo Cuello Redondo Manga Corta Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0300.swf";"CH, M, G, EG";"Peso*: 200 g/m2 *Peso en color oscuro Tejido: Chifón 100% algodón.";"Azul Claro, Negro, Blanco, Canario, Rosa Pastel, Fiusha, Morado, Marino, Rojo, Chocolate, Olivo";"Link Ficha Tecnica";
"D0306";"Dama";"https://www.yazbek.com.mx/item/d0306.html?id=4578";"Playera Cuello V Manga Corta Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0306.swf";"CH, M, G, EG";"Peso*: 170 g/m2 *Peso en color oscuro Tejido: Chifón 100% algodón.";"Negro, Blanco, Marino";"Link Ficha Tecnica";
"D0500";"Dama";"https://www.yazbek.com.mx/item/playera-tipo-polo-para-dama.html?id=4578";"Playera Tipo Polo Piqué Con Silueta Para Dama.";"https://www.yazbek.com.mx/files/selector/d0500.swf";"CH, M, G, EG";"Peso*: 235 g/m2 *Peso en color oscuro Tejido: Piqué 100% algodón. *Jaspe 90% algodón y 10% poliéster";"Negro, Blanco, Mango, Jade Oscuro, Naranja, Beige, Celeste, Royal, Verde Bosque, Marrón, Marino, Rojo, Chocolate";"Link Ficha Tecnica";
