"Num Colegiado";"Nombre y Apellido";"Direccion";"Ciudad";"Telefono";"Email"
"0";"A.P.G. ARQUITECTURA, PLANEAMIENTO Y GESTION, S.L.P., SOCIEDAD";"C/ JUAN SEBASTIAN ELCANO, Nº 40 29017-MALAGA (MALAGA)";"MALAGA";"952296898";"APGSLP@GMAIL.COM"
"0";"AESPLUS ARQUITECTOS, S.L.P., SOCIEDAD";"OT ALAMEDA DE COLÓN Nº 2 6º B 29001-MALAGA (MALAGA)";"MALAGA";"952601019";"aesplus@coamalaga.es"
"0";"AGUADO ARQUITECTOS, S.L.P., SOCIEDAD";"C/ SANTA ANA, Nº 3 29603-MARBELLA (MALAGA)";"MARBELLA";"952774291";"aguadoangela@coamalaga.es"
"0";"ALBERRO ARQUITECTOS, S.L.P., SOCIEDAD";"C/ SANTA ROSA, Nº 6 29640-FUENGIROLA (MALAGA)";"FUENGIROLA";"952198130";"aearquitectos@aearquitectos.com"
"0";"ALEXIS GONZALEZ ARQUITECTOS, S.L.P., SOCIEDAD";"C/ RAMON GOMEZ DE LA SERNA, Nº 23, LOCAL 1 29602-MARBELLA (MALAGA)";"MARBELLA";"639438437";"alexis@gonzalezcasaus.com"
"0";"ALFONSO VALENCIA ARQUITECTURA, S.L.P., SOCIEDAD";"PL DE SOLIDARIDAD, EDIF. LA ARAUCARIA, Nº 7-BL. 4-9º-A 29002-MALAGA (MALAGA)";"MALAGA";"952722060";"a.valencia@coamalaga.es"
"0";"AMES ARQUITECTOS, S.L.P., SOCIEDAD";"C/ HERRERIA DEL REY, Nº 3 29005-MALAGA (MALAGA)";"MALAGA";"625616999";"AMORILLO@coamalaga.es"
"0";"ANTONIO MARTINEZ ARAGON ESTUDIO DE ARQUITECTURA, S.L.U.P., SOCIEDAD";"C/ CAÑÓN 7, 1º-D 29015-MALAGA (MALAGA)";"MALAGA";"952604330";"ANTONIO@MARTINEZARAGON.COM"
"0";"ARCHIPLAN SPAIN, S.L.P., SOCIEDAD";"UR ALHAMBRA DEL GOLF, FASE II, C/ RIO GUADALMINA 1 , 1º DERECHA 29680-ESTEPONA (MALAGA)";"ESTEPONA";"952904142";"jaime@archiplan.es"
"0";"ARCHITUD, S.L.P., SOCIEDAD";"C/ MARIANO DE CAVIA, Nº 6 29017-MALAGA (MALAGA)";"MALAGA";"952220761";"architud@gmail.com"
"0";"ARQUI3 MIJAS COSTA, S.C.P., SOCIEDAD";"C/ RIO BENAMARGOSA, Nº 3 LOCAL 2 29649-MIJAS-COSTA (MALAGA)";"MIJAS";"952472584";"ARQUI3@ARQUI3.COM"
"0";"ARQUIDESUR S.L.P., SOCIEDAD";"OT PASAJE HERRERA ORIA, Nº 1, BAJO 29007-MALAGA (MALAGA)";"MALAGA";"952615516";"AMANDO@ARQUIDESUR.COM"
"0";"ARQUIGRAF PROYECTOS, S.L.P., SOCIEDAD";"AV DE ANDALUCIA, Nº 42, EDF. LA ESPIGA, 2º-A 29680-ESTEPONA (MALAGA)";"ESTEPONA";"952795837";"JMGARRIDO@AGFPROYECTOS.COM"
"0";"ARQUISURLAURO, S.L.P., SOCIEDAD";"C/ ALMENDROS BLOQUE 2 BIS LOCAL 29130-ALHAURIN DE LA TORRE (MALAGA)";"ALHAURIN DE LA TORRE";"952960004";"ESTUDIO@ARQUISURLAURO.ES"
"0";"ARQUITECTURA Y GESTION EME UNO MARBELLA, S.L.U.P., SOCIEDAD";"OT CENTRO COMERCIAL PLAZA MINITIENDA, Nº 1 29660-URB. NUEVA ANDALUCIA - MARBELLA (MALAGA)";"MARBELLA";"952908589";"estudio@lr-arq.com"
"0";"ARQUITECTURA Y PLANIFICACION URBANISTICA, S.L.P., SOCIEDAD";"AV ORTEGA Y GASSET, Nº 10, P-10-BIS, 2º-B 29010-MALAGA (MALAGA)";"MALAGA";"952219209";"josmota@gmail.com"
"0";"ARQUITECTURA, PROYECTOS Y PLANEAMIENTO, S.L.P., SOCIEDAD";"C/ REFINO, Nº 28 29013-MALAGA (MALAGA)";"MALAGA";"952318820";"ARQUITECTURA@ARQ.ES, RAMON.PACHON@ARQ.ES"
"0";"ARQUIVELEZ PROYECTOS, S.L.P., SOCIEDAD";"C/ ROMERO POZO, Nº 9-2º-F 29700-VELEZ-MALAGA (MALAGA)";"MALAGA";"952507884";"arquivelez@coamalaga.es"
"0";"ARQUIZA 06, S.L.U.P., SOCIEDAD";"C/ CALZADA, Nº 23, 2ºR 29793-TORROX-COSTA (MALAGA)";"TORROX";"952539133";"arquiza@coamalaga.es"
"0";"ARSTIERRA ARQUITECTURA, S.L.P., SOCIEDAD";"C/ PIZARRO, Nº 4 29700-VELEZ-MALAGA (MALAGA)";"VELEZ";"952546760";"artuquitecto@yahoo.es"
"0";"ASENJO Y ASOCIADOS-ARQUITECTURA, INGENIERA Y URBANISMOS, S.L.P., SOCIEDAD";"PL DE LA MALAGUETA, Nº 2, EDF.HORIZONTE, 1ª PLANTA 29016-MALAGA (MALAGA)";"MALAGA";"952224225";"asenjo@asenjo.net"
"0";"ATRIO ARQUITECTURA Y URBANISMO, S.L.P., SOCIEDAD";"CÑ DEL TESORO, Nº 4, LOCALES 4-5 29004-MALAGA (MALAGA)";"MALAGA";"951242949";"estudio@atrioarquitectos.com"
"0";"BARMI DISEÑO, S.L.P., SOCIEDAD";"C/ SIERRA BLANCA, Nº 1-7º-D 29600-MARBELLA (MALAGA)";"MARBELLA";"952828078";"barmiarquitectos@coamalaga.es"
"0";"BENEDICTO ARQUITECTOS ASOCIADOS, S.L.P., SOCIEDAD";"OT CJTO. RESIDENCIAL EL OLIVAR, CASA 18, AÑORETA 29730-RINCON DE LA VICTORIA (MALAGA)";"RINCON DE LA VICTORIA";"679954531";"agbeca@coamalaga.es"
"0";"CARLOS LAMAS 365, S.L.P., SOCIEDAD";"OT CENTRO COMERCIAL GUADALMINA, BL. 4, LOCAL 20 29670-SAN PEDRO DE ALCANTARA MARBELLA (MALAGA)";"MARBELLA";"952886970";"estudio@carloslamas.com"
