administracio@grupgps.com,Gps Recicar,Calle METALURGIA; 11. 08908. L´HOSPITALET DE LLOBREGAT (BARCELONA),932234355,GRUAS PARA VEHICULOS
joseluis@desguaceparada.com,Desguace Parada,Carretera Puerto de Santa María; 0; Km 2;5. 11540. Sanlúcar de Barrameda (CÁDIZ),956367009,DESGUACES DE VEHICULOS Y MAQUINARIA
info@desguacesvegamedia.com,DESGUACES VEGA MEDIA,Carretera De Ceutí; 59 Bajo. 30560. ALGUAZAS (MURCIA),968622214,DESGUACES DE VEHÍCULOS Y MAQUINARIA
concesion@agredasa.es,Àgreda Automóvil,Avenida Manuel Rodríguez Ayuso; 110; (Antigua Ctra. Madrid; km. 315;7). 50012. ZARAGOZA,976300818,AUTOCARES: SERVICIOS Y ALQUILER
juanbautista.eguiluz@allianzmed.es,Garaje Eguietxa,Autovia Vitoria - Altube Km 20. 01130. Murgia; ZUIA (ARABA),945430275,TALLERES MECANICOS PARA VEHICULOS
garza.garza@mercedes-benz.es,Garza Automoción S.a. - Mercedes-benz,Carretera N-525; 0; km 230;5 (Polígono de Barreiros). 32915. SAN CIBRAO DAS VIÑAS (OURENSE),988363008,AUTOMOVILES: CONCESIONARIOS Y AGENCIAS
gruasgarte@garte.es,Grúas Garte,Avenida de Mendavia; 14; (Pol. Ind. Cantabria I). 26004. LOGROÑO (LA RIOJA),941228608,GRUAS CAMION Y MOVILES
info@autodesguacesjanoudi.com,Auto Desguaces Janoudi,Calle Oro; 14; Pol. Ind. Aimayr. 28330. San Martín de la Vega (MADRID),916917168,DESGUACES PARA AUTOMOVILES
devasa@electrodevasa.com,Electro Devasa,Calle Alfonso Guixot Guixot; 3. 03010. Alicante / Alacant; ALICANTE/ALACANT (ALICANTE),965255283,ELECTRODOMESTICOS: ESTABLECIMIENTOS
,Desguaces La Cabaña,Poligono El Portazgo; 44; Nave. 50011. ZARAGOZA,976783200,DESGUACES DE VEHICULOS Y MAQUINARIA
desguaceha@gmail.com,Desguaces H.a. Sant Boi De Llobregat,Carrer de la Mare de Déu de Núria; 16; Bajo (Pol. Ind. Salas). 08830. SANT BOI DE LLOBREGAT (BARCELONA),936307102,DESGUACES DE VEHICULOS Y MAQUINARIA
torrentcujn@gmail.com,Taller Torrent,Carrer del Montseny; 33; - Baixos. 17006. GIRONA,972236095,TALLERES MECANICOS PARA AUTOMOVILES
msantolaya@fer.es,Talleres Santolaya,Calle Barriguelo; 6; (Pol. Cantabria I). 26009. LOGROÑO (LA RIOJA),941237050,TALLERES MECANICOS PARA AUTOMOVILES
Info@d4desguacesbarcelona.es,D4 Desguaces Barcelona S.l.,Carrer de la Mare de Déu de Núria; 1. 08830. Sant Boi de Llobregat (BARCELONA),936549592,DESGUACES DE VEHICULOS Y MAQUINARIA
,Desguaces La Cabaña,Paseo Ubarburu; 23; (Pol. Ind. 27) . 20014. Donostia/San Sebastián (GIPUZKOA),943446161,DESGUACES DE VEHICULOS Y MAQUINARIA
castillo@fordservicios.com,Talleres José Luis,Calle Islas Bikini; 16; - 20. 28100. ALCOBENDAS (MADRID),916620011,AUTOMOVILES: CONCESIONARIOS Y AGENCIAS
