"LA VIÑA";"circunvalar@pastelerialavina.com";"Tel: (57) (6) 3172100";"Av Circunvalar 9-19 Lc3 Pereira, Colombia"
"SIN AZUCAR REPOSTERIA DIETETICA";"gerencia@sinazucar.com.co";"Tel: (57) (4) 6046563";"Cl 28 A 81 A-24 B Belén La Palma Medellín, Colombia"
"Astor";"astor@elastor.com.co";"Tel: (57) (4) 3853581";"Cr43 A 25 A-116 Medellín, Colombia"
"ASADOS LA 80";"mercadeo@asadosla80.com";"Tel: (57) (4) 4034040";"Cr81 30-07 Belen Medellín, Colombia"
"EL RANCHERITO";"";"Tel: (57) (4) 4449576";"Cl 18 35-50 Km2 via las Palmas Medellín, Colombia"
"RESTAURANTE LA DOCTORA";"jmgutierrez2011@gmail.com";"Tel: (57) (4) 2769041";"Cl 75 B S 40-20 Sabaneta, Colombia"
"La Abuela Isabel S.A";"laabuelaisabel@une.net.co";"Tel: (57) (4) 2603432";"Cl 49 B 67 A-43 Medellín, Colombia"
"Bakuba Bakery";"contacto@bakuba.com.cobakuba.sotano4@gmail.com";"Tel: (57) (4) 4480444";"Cr42 A 1-65 L-65 San Fernando Plaza Medellín, Colombia"
"Tamales Exquisitos";"texq@une.net.co";"Tel: (57) (4) 2700576";"Cl 38 S 47-07 Medellín, Colombia"
"Helados Iglú";"helados.iglu@hotmail.com";"PBX: (57) (6) 3301082";"Cl 8 17-38 Zona Industrial La Popa Dosq Pereira, Colombia"
"Quesañas y Lasañas";"quesanasy-lasanas@yahoo.com";"Tel: (57) (4) 4482499";"Cl 10 43 B-53 Medellín, Colombia"
"Diliexpress Logistica S.A.S.";"diliexpressm@hotmail.com";"Tel: (57) (4) 4446591";"Cr77 48 B-02 Medellín, Colombia"
"Perman S.A.";"perman@une.net.co";"Tel: (57) (4) 2857766";"Cl 10 S 50FF 70 Medellín, Colombia"
"LIBAR DOG";"gerencialibardog@hotmail.com";"Tel: (57) (7) 6477055";"Cr27 A 45 A-16 Bucaramanga, Colombia"
"TROPIC FRUITS";"tropicfruits2012@hotmail.com";"Tel: (57) (1) 4857072";"Dg38 S 81 G-66 Bdg 15 Bogotá, Colombia"
"Mamut Pizzas";"hyamileandrea@yahoo.com";"Tel: (57) (4) 4429900";"Dg85 79-186 Medellín, Colombia"
