"VENECIA SHIP SUPPLIERS & DUTY FREE";"";"Tel: (58) (242) 3616922";"Calle Comercio No. 04 Puerto Cabello, Venezuela";"Abastecedores De Barcos"
"ESCRITORIO DE ABOGADOS RIANI JIMÉNEZ";"";"Tel: (58) (246) 8713317";"Calle 4 Calabozo , Venezuela";"Abastecedores De Barcos"
"HERTZ RENTA MOTOR, C.A.";"";"Tel: (58) (261) 7350832";"Maracaibo Maracaibo, Venezuela";"Abastecedores De Barcos"
"IMPORTADORA MEGA TICTAC";"";"Tel: (58) (257) 2533245";"Carrera 5ta. Esquina Calle 12 Guanare, Venezuela";"Accesorios Para Cabello"
"AUTO REPUESTOS ROSGAR";"";"Tel: (58) (251) 4431101";"Carr. 19 entre Calles 39 y 40, Barquisimeto Barquisimeto, Venezuela";"Accesorios Usados Y Repuestos"
"VERAUTOS C.A.";"";"Tel: (58) (241) 8257056";"Av. Bolivar Norte, La Ceiba, N³ 141-55, Valencia Valencia, Venezuela";"Accesorios Usados Y Repuestos"
"AUTO REPUESTOS VEN ARAGUA, C.A.";"";"Tel: (58) (243) 2358481";"Av. Los Cedros Maracay, Venezuela";"Accesorios Usados Y Repuestos"
"AUTO REPUESTOS TOYAR DEL ESTE, C.A.";"";"Tel: (58) (251) 2530661";"Av Los Leones Barquisimeto, Venezuela";"Accesorios Usados Y Repuestos"
"REPUESTOS TOYO-RÚSTICOS 4X4 C.A.";"";"Tel: (58) (251) 4460896";"Av. Rómulo Gallegos, Esq. Carr.31 Barquisimeto, Estado Lara Barquisimeto, Venezuela";"Accesorios Usados Y Repuestos"
"TODO PARA SU FORD";"";"Tel: (58) (251) 4459083";"Carrera 21. esquina Calle 40 Barquisimeto - Estado Lara Frente a Repuesto Barquisimeto, Venezuela";"Accesorios Usados Y Repuestos"
"METALMECÈNICA COMPLEX, C.A.";"";"Tel: (58) (212) 2486980";"Charavalle Caracas, Venezuela";"Accesorios Usados Y Repuestos"
"OLYMPIA ZULIA, C.A.";"";"Tel: (58) (261) 7875977";"Cl. 100, Sabaneta Larga Maracaibo, Venezuela";"Accesorios Usados Y Repuestos"
"AUTO REPUESTOS SANDRO, C.A.";"";"Tel: (58) (243) 2327930";"Av Constitución Este, La Barraca Maracay, Venezuela";"Accesorios Usados Y Repuestos"
"MONTACARGAS Y GRUAS DE OCCIDENTE, C.A.";"";"Tel: (58) (261) 7358630";"Km2 1/2Vía Perijá fte al ant monum del carro chocado Maracaibo-Est Zulia Maracaibo, Venezuela";"Accesorios Usados Y Repuestos"
"COVECA";"";"Tel: (58) (251) 2618953";"Calle 9 entre 8 y 9, La Mata Cabudare, Venezuela";"Accesorios Usados Y Repuestos"
"REOUESTOS Y ACCESORIOS HNOS CASTRO";"";"Tel: (58) (249) 4161924";"Ave. Segunda Principal Manzana 02 Local 7 la Esmeralda San Diego Campo de Carabobo, Venezuela";"Accesorios Usados Y Repuestos"
"REPUESTOS EL PROGRESO";"";"Tel: (58) (286) 9526008";"Av.Ppal Unare II Ciudad Guayana San Félix, Venezuela";"Accesorios Usados Y Repuestos"
"INSTALACIONES SANGRONIS";"";"Tel: (58) (212) 5741586";"San AgustÙn del Norte Caracas, Venezuela";"Accesorios Usados Y Repuestos"
"NUMISFILA, C.A.";"";"Tel: (58) (212) 7611952";"2da Av. Las Delicias Sabana Grande Caracas, Venezuela";"Aficiones"
"AFRODITA COSAS BELLAS";"";"Tel: (58) (269) 2469995";"Cl Garcés, E/Cl Brasil y Perú Centro Punto Fijo, Venezuela";"Aficiones"
"DISCOTIENDA PANTERA ROSA STORE, C.A.";"";"Tel: (58) (271) 2256842";"Cl. 9, Valera Valera, Venezuela";"Aficiones"
"CASA VERDI, C.A.";"";"Telefax: (58) (286) 9232780";"Carrera La Urbana, C.C. Doña Delia P.B. Local Nú 5 Castillito Ciudad Guayana San Félix, Venezuela";"Aficiones"
"PRODUCCIONES PECAFEL, C.A.";"";"Tel: (58) (212) 8613274";"Delicias, Altagracia Caracas, Venezuela";"Aficiones"
"EL PASACINTA, C.A.";"";"Telefax: (58) (276) 3434309";"Centro, San Cristóbal San Cristóbal, Venezuela";"Aficiones"
"PINTURAS TECNICOLOR, C.A.";"";"Tel: (58) (275) 8812680";"Edificio Tecnicolor, N³ 4-33 Al lado del Banco Caribe Av. Bolivar El Vigía, Venezuela";"Aficiones"
"DAKOTA LA TIENDA DE SU MASCOTA";"";"Tel: (58) (212) 7510908";"Av Leonardo Da Vinci, Bello Monte Caracas, Venezuela";"Aficiones"
"FERRETERIA ROTORZAM";"";"Tel: (58) (277) 5411644";"Ct Panamericana La Fría, Venezuela";"Aficiones"
"AVÍCOLA RAMOS, S.R.L.";"";"Tel: (58) (212) 5737009";"1ra Transversal, Guaicaipuro Caracas, Venezuela";"Aficiones"
"ARMERIA GUANARE, S.A.";"";"Tel: (58) (257) 2510122";"Carrera 5 E/Cl 12 y 13 Edif. Carlos Rodríguez P.B. Guanare, Venezuela";"Aficiones"
"FLORISTERÍA COMERCIAL IRMAOS, C.A.";"";"Tel: (58) (212) 9451486";"Baruta Caracas, Venezuela";"Aficiones"
"ARMAS DIANA";"";"Tel: (58) (212) 6938211";"Av Estadium, Los Chaguaramos Caracas, Venezuela";"Aficiones"
"ARMAS LARA CENTER, C.A.";"";"Tel: (58) (251) 2323373";"Av. 20 E/Calles 22 y 23 C.C.Barquicenter Nivel Mezz, Local Nro.27 Barquisimeto, Venezuela";"Aficiones"
"PINTURAS EL BOSQUE, C.A.";"";"Tel: (58) (243) 2417683";"El Bosque Maracay, Venezuela";"Aficiones"
"JD MUSICAL LCM CAMINANTICOS";"";"Tel: (58) (295) 2636973";"Cl. Igualdad E/Cl Nysan Porlamar, Venezuela";"Aficiones"
"INTERNATIONAL DISDABA C.A.";"";"Telefax: (58) (212) 7622031";"Cl. Los Manguitos, Las Delicias De Sab. Grande Caracas, Venezuela";"Aficiones"
"MG GUN SPORT INTERNACIONAL, C.A.";"";"Tel: (58) (251) 2524286";"Carrera 21 Entre Calle 13 y 14 Barquisimeto, Venezuela";"Aficiones"
"ARMAS LLANO, C.A.";"";"Tel: (58) (255) 6237738";"Av. Libertador Acarigua, Venezuela";"Aficiones"
"INVERSIONES MARY-GREG, C.A";"";"Tel: (58) (261) 7238912";"Na Planta Alta Loc 16 Maracaibo, Venezuela";"Aficiones"
"ARMAYRCA EL VIGIA, C.A.";"";"Tel: (58) (275) 8813569";"Detrás Del Hospital De El Vigia Calle 9, San Isidro El Vigía, Venezuela";"Aficiones"
"CORREDOR HERMANOS, C.A.";"";"Tel: (58) (274) 2527289";"Mérida Mérida, Venezuela";"Aficiones"
"HOTEL EL MARQUES";"";"Tel: (58) (212) 2420510";"Av. Rómulo Gallegos El Marqués Caracas, Venezuela";"Aficiones"
"EXCENTRICISMO C.A";"";"Tel: (58) (212) 2645521";"La Catellana Caracas, Venezuela";"Aficiones"
"CRISTAL PARK HOBIES C.A";"";"Tel: (58) (212) 2854911";"Edif. Parque Cristal C1 Caracas, Venezuela";"Aficiones"
"CD SYSTEMS";"";"Tel: (58) (212) 2383305";"Av Ppal Los Cortijos De Lourdes Edif Industrial Los Hermanos P 3 Caracas, Venezuela";"Aficiones"
"WESTERN SHOP";"";"Tel: (58) (212) 9615579";"El Hatillo Caracas, Venezuela";"Aficiones"
