"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"TRANSMIFUERZA C.A.";"";"Tel: (58) (286) 9625564";"Edif. Monterrey, P.B., L3 Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Acoples"
"TERMOMAC";"";"Telefax: (58) (212) 5321216";"Caracas-Mariche Caracas, Venezuela";"Acoples"
"INGEMERCA, C.A.";"";"Tel: (58) (286) 9945566";"Zona Ind Los Pinos Ciudad Guayana Puerto Ordaz, Venezuela";"Acoples"
"MEDICAS BOLIVAR";"rosalcc@yahoo.es";"Cel.: (58) 3118106275";"Atiende en Colon desde su sede principal en Pasto Colón, Venezuela";"Acupuntura"
"TERAPEUTA EN MEDICINA TRADICIONAL CHINA";"";"Tel: (58) (274) 7892888";"Mérida Mérida, Venezuela";"Acupuntura"
"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUERA CARARA C.A";"";"Tel: (58) (251) 4410660";"Av Las Industrias, 200 mts Sidetur Zona Industrial II Barquisimeto, Venezuela";"Adoquines, Bloques Y Ladrillos"
"LADRILLERA GÜIGÜE";"";"Tel: (58) (212) 3412552";"Calle Boca De Río, Güigüe, Edo. Carabobo, Venezuela Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUERA CONCAL";"";"Tel: (58) (243) 3221287";"Cl. Presidente Prolg. Av Las Industrias, detrás de Adornos ILU Urb Soco,La Victoria - Edo Aragua Mariara, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFARERÍA VENEZUELA C.A.";"";"Tel: (58) (212) 3634709";"Zona Industrial Cloris Guarenas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUERA BARCELONA S.R.L.";"";"Tel: (58) (281) 2770978";"Av Aeropuerto Barcelona, Venezuela";"Adoquines, Bloques Y Ladrillos"
"TECNIPAC C.A.";"";"Telefax: (58) (212) 7511060";"Cl. Garcilazo, C.C. Polo I, Nivel Mezzanina, Loc. Mz-6 Colinas De Bello Monte, Caracas 1050 Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUERIA GUELI & ALVAREZ C.A.";"";"Tel: (58) (283) 2315379";"Callejon Las Palmas Las Delicias Ii El Tigre, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFARERÍA HIGUEROTE";"";"Tel: (58) (212) 3231295";"Ct Higuerote Curiepe Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUERA RÍO CRISTAL, C.A.";"";"Tel: (58) (212) 4310687";"Ct. Hacienda Los Báez, Las Adjuntas Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFARERÍA LA MARGARITA, C.A.";"";"Tel: (58) (212) 3810653";"Carretera Guarenas-Guatire Sector Las Barrancas Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"IZALCONCRETOS,C.A.";"";"Tel: (58) (261) 7972393";"Av. Bella vista, Bella Vista Maracaibo, Venezuela";"Adoquines, Bloques Y Ladrillos"
"BLOQUERA MINABLOC, C.A.";"";"Tel: (58) (212) 3729918";"Carret. Panamericana Km. 14 Sector Los Llaneros S Antonio De Los Altos San Antonio De Los Altos, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFARERÍA OBRA LIMPIA, C.A.";"";"Tel: (58) (212) 9590481";"Av La Estancia, Chuao Caracas, Venezuela";"Adoquines, Bloques Y Ladrillos"
"ALFARERÍA GRES, C.A.";"";"Tel: (58) (251) 2371084";"Carrera 5 Con Calle 26 Zona Industrial I Barquisimeto, Venezuela";"Adoquines, Bloques Y Ladrillos"
"LADRILLERIA GUIGUE";"";"Tel: (58) (291) 3412049";"Calle Boca de Rio Guigue, Edo. Carabobo Venezuela Maturín, Venezuela";"Adoquines, Bloques Y Ladrillos"
