"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"BOMBAS TÁCHIRA C.A.";"";"Tel: (58) (251) 3474330";"Av. 19 De Abril, Cto. Cial. El Parque, Torre C P.B., Locs. 11 Y 81 Barquisimeto, Venezuela";"Accesorios Para Piscinas"
"PISCINAS AQUAZUL ORIENTE";"";"Tel: (58) (212) 6629553";"Caracas Caracas, Venezuela";"Accesorios Para Piscinas"
"FIBER MUTINACIONAL DE SERVICIOS, C.A.";"";"Telefax: (58) (281) 2867474";"Urb. Colinas De Neveri, Calle 11, Quinta Fiber Barcelona, Venezuela";"Accesorios Para Piscinas"
"PISCINAS EL FARO, C.A.";"";"Tel: (58) (281) 2861074";"Calle Mariño, C.C. El Peñon Del Faro, Local E-4 Lecherías, Venezuela";"Accesorios Para Piscinas"
"COMERCIALIZADORA GUERRERO";"";"Tel: (58) (251) 5410870";"Av.2, Calle 1, Urb. La Paz, N³2 La Mata Barquisimeto, Venezuela";"Accesorios Para Piscinas"
"HIDRAULICA Y QUIMICOS ORIENTE";"";"Tel: (58) (295) 2617846";"Calle Ortega, Edif. Monterrato, P.B. Porlamar, Venezuela";"Accesorios Para Piscinas"
"ANDRADE POOLS MARGARITA, C.A.";"";"Telefax: (58) (295) 2744555";"Calle Paramaconi, Entre Calles Marcano Y Fuentes, Sectro Conejeros Porlamar, Venezuela";"Accesorios Para Piscinas"
"PISCINAS PROUM, C.A.";"";"Tel: (58) (281) 4181493";"Av. Principal De Lecheria C. Timonel, PB Local No. 2 Lecherías, Venezuela";"Accesorios Para Piscinas"
"PISCBARCA PISCINAS BARQUISIMETO, C.A.";"";"Tel: (58) (251) 2522296";"Calle 14 E/Av 20 y 21 Barquisimeto, Venezuela";"Accesorios Para Piscinas"
"INGENIERIA HIDRAULICA AQUATRO, C.A.";"";"Tel: (58) (281) 8088182";"Av. Intercomtinental Con Av. 13, C.C. Odert Center, Planta Baja, Local 5 Sectro Colinas Del Neveri Barcelona, Venezuela";"Accesorios Para Piscinas"
"MULTIPSCINAS.COM";"";"Tel: (58) (251) 2127767";"Av.Circumvalación Norte, a 200 Mts. Redoma los Robles, Islas de Margarita Barquisimeto, Venezuela";"Accesorios Para Piscinas"
"ACQUABELLA";"";"Tel: (58) (281) 2866176";"Av. Gusman Lander Lecherías, Venezuela";"Accesorios Para Piscinas"
"HIDROTECNIA BOMBAS ELÉCTRICAS S.A.";"";"Tel: (58) (212) 6615687";"Qta. Maracaibo Caracas, Venezuela";"Accesorios Para Piscinas"
"ACQUA PISCINAS C.A.";"";"Tel: (58) (251) 6147161";"Av.8, Santa Rita, Calle 68, CC.Santa Barbara, Loc. 3, al lado del hotel K ristoff, Maracaibo. Edo. Zulia Barquisimeto, Venezuela";"Accesorios Para Piscinas"
"INDUSTRIAL TAMARA C.A.";"";"Tel: (58) (281) 2681163";"CI. Santo Domingo, Ponzuelos Puerto de  la Cruz, Venezuela";"Accesorios Para Piscinas"
"GRUPO AGUA AZUL, C.A.";"";"Tel: (58) (291) 8242654";"Urb. San Gerardo, Av. 103 No. 123-80-2 Qta. Agua Azul, Detras Del C.C. Ca ribbean Plaza Maturín, Venezuela";"Accesorios Para Piscinas"
"PISCINAS ARAGUA";"";"Tel: (58) (243) 5513971";"Av. Constitución Oeste entre 23 de Enero y Ayacucho Maracay, Venezuela";"Accesorios Para Piscinas"
"EG LUBRICAR , C.A";"";"Tel: (58) (212) 7614395";"Cnas De Bello Monte Las Delicias Av Solano Caracas, Venezuela";"Aceites Combustibles Y Calefacción"
"INVERSIONES SOTESI, C.A";"";"Tel: (58) (212) 5454375";"Av 1, Las Fores Pte Hierro Caracas, Venezuela";"Aceites Combustibles Y Calefacción"
"BELT HOSE AND FITING C.A";"";"Tel: (58) (212) 8712180";"Catia Caracas Caracas, Venezuela";"Adaptadores Inalámbricos"
"METROBUS LARA, C.A.";"";"Tel: (58) (251) 2371747";"Cl. 25 E/Cr 3 y 4 Zona Industrial 1 Barquisimeto, Venezuela";"Agencias De Transportes"
"TRANSPORTE SAN JORGE 2000, C.A.";"";"Tel: (58) (281) 2768749";"Barrio Campo Claro Barcelona, Venezuela";"Agencias De Transportes"
"ACITRAVOLVA";"";"Tel: (58) (251) 2376755";"Callejón 13-A Barquisimeto Barquisimeto, Venezuela";"Agencias De Transportes"
"EQUIPOS SERRANO HNOS S.A.";"";"Tel: (58) (282) 4256330";"Calle Sucre 10-140 Sector las Parcelas Anaco, Venezuela";"Agencias De Transportes"
"REFRI AUTO P Y Z, C.A.";"";"Tel: (58) (261) 4222943";"Cl.Lara Pueblo Nuevo Maracaibo, Venezuela";"Aire Acondicionado"
"SERVICIOS INDUSTRIALES S.R.L";"";"Tel: (58) (243) 2358577";"Av Aragua Este Maracay, Venezuela";"Aire Acondicionado"
"ACCESORIOS CAR WAY, C.A.";"";"Tel: (58) (261) 7972023";"Cl79, Dr Quintero Maracaibo, Venezuela";"Aire Acondicionado"
"EIS CONTINENTAL, H.R. C.A. REPUESTOS";"";"Tel: (58) (212) 8643250";"Avenida Sucre (Frente Al Parque Del Oeste), Catia - Caracas Caracas, Venezuela";"Aire Acondicionado"
"RE4FRIGERACION VISAC";"";"Tel: (58) (261) 3553629";"Barrio Obrero Maracaibo, Venezuela";"Aire Acondicionado"
"AUTOREFRIGERACIÓN NICOLA C.A.";"";"Tel: (58) (291) 6429563";"Av.Orinoco Maturín, Venezuela";"Aire Acondicionado"
"INVERSIONES V & V C.A.";"";"Tel: (58) (212) 7988168";"Calle 68 + Avds. 12 Y 13 Caracas, Venezuela";"Aire Acondicionado"
"REFRIGERACIÓN Y RADIADORES STEFANO, S.R.L.";"";"Tel: (58) (261) 6321132";"Av.Ps M.De Mendoza Maracaibo, Venezuela";"Aire Acondicionado"
