"AUTO TALLER GRAN SASSO, S.R.L";"";"Telefax: (58) (241) 8313190";"La Candelaria Valencia, Venezuela";"Abogados - Asuntos Inmobiliarios"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Aceites Minerales"
"POLIMEROS Y MINERALES, C.A. - SAFRA, C.A.";"";"Tel: (58) (212) 6333225";"Av. El Cortijo, Qta. Lucana No. 15 Los Rosales, Caracas Caracas, Venezuela";"Aceites Minerales"
"BASF VENEZOLANA S.A. - BASF THE CHEMICAL CO.";"";"Tel: (58) (212) 2560011";"Caracas Caracas, Venezuela";"Aceites Minerales"
"EUROQUIM - SERVICIOS Y SOLUCIONES QUÙMICAS";"";"Telefax: (58) (212) 9857555";"Av. Ppal. de San Luis, Torre MayupÈn, Piso 2 Of. 2-1, El Cafetal Caracas, Venezuela";"Aceites Minerales"
"SUMINDU ACEROS ESPECIALES E INOXIDABLES";"";"Tel: (58) (261) 7363029";"Av. 68, Entre Calles 149 Y 149B, 2da Etapa, Zona Industrial, Maracaibo Maracaibo, Venezuela";"Aceros Especiales"
"ACEROS Y ELECTRODOS ESPECIALES,C.A.";"";"Tel: (58) (212) 6901612";"Av. El Cirtijo, Los Rosales Caracas, Venezuela";"Aceros Especiales"
"CENTRO DE INSTRUCCIÓN AERONÁUTICA ICARO, C.A.";"";"Tel: (58) (212) 2256333";"Aeropuerto Caracas, Charallave Caracas, Venezuela";"Aeronáutica"
"FULL IMAGEN";"";"Tel: (58) (243) 6172163";"Diagonal a C.C Metro Plaza detras de farmacias Maracay, Venezuela";"Agendas"
"PUBLICK COMPUTER";"";"Telefax: (58) (212) 5721964";"Av. Urdaneta, Centro Urapal, Piso 12, Of. 12-01, Caracas Caracas, Venezuela";"Agendas"
"EDICIONES DIR, C.A.";"";"Tel: (58) (241) 8716161";"Zona Industrial Castillito Av 103 C.C. Pescamar, PB, Ofc. 3a Valencia, Ed o Carabobo Valencia, Venezuela";"Agendas"
"REPRESENTACIONES DELTA S.R.L.";"";"Telefax: (58) (212) 5513934";"Caracas Caracas, Venezuela";"Agendas"
"D©VINNI AGENDAS";"";"Tel: (58) (212) 2443989";"Cl6, Edif Segre II, Piso 2, Urb. Industrial La Urbina Caracas, Venezuela";"Agendas"
"PUBLILAR, C.A.";"";"Tel: (58) (261) 7911327";"Entre Don Bosco Y La Lago Maracaibo, Venezuela";"Agendas"
"AGENDAS LEC";"";"Tel: (58) (212) 2411111";"Cl8, Zona Industrial La Urbina Caracas, Venezuela";"Agendas"
"RAYAS";"";"Tel: (58) (276) 3441560";"7 Ma Avenida, Cl 11 San Cristóbal, Venezuela";"Agendas"
"AGENDAS EMPRESARIALES E.S. DE VENEZUELA C.A.";"";"Tel: (58) (261) 7341890";"Maracaibo Maracaibo, Venezuela";"Agendas"
"LEDEZMA AIR C.A";"";"Tel: (58) (241) 8596467";"Cl Vargas Entre Briceño Mendez Y Fernando Figueredo Ed. C.C Jf Locales 01 Y 02, Av Cedeño Centro Valencia, Venezuela";"Aire Acondicionado Para Automotores"
"SERVICIOS Y REFRIGERACIÓN MANOLO";"";"Tel: (58) (246) 4311947";"Av Vía Los Llanos San Juan de Los Morros, Venezuela";"Aire Acondicionado Para Automotores"
