"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"MONCA";"";"Tel: (58) (295) 2633027";"Calle El Colegio Porlamar, Venezuela";"Accesorios Para Teléfonos Celulares"
"MC'TIME, C.A.";"";"Tel: (58) (243) 2473711";"Calle Vargas Sur Maracay, Venezuela";"Accesorios Para Teléfonos Celulares"
"IVENCOS CELLULAR";"";"Tel: (58) (281) 2656291";"Avenida Paseo Colón Puerto de  la Cruz, Venezuela";"Accesorios Para Teléfonos Celulares"
"INVERSIONES YOXYUNE, C.A.";"";"Tel: (58) (244) 4150652";"Tejerias Las Tejerías, Venezuela";"Accesorios Para Teléfonos Celulares"
"CORPODIGITEL INTEGRAL, C.A.";"";"Tel: (58) (244) 3217212";"Las Mercedes, C.C. Madeirense La Victoria, Venezuela";"Accesorios Para Teléfonos Celulares"
"TECNIPHONE CELL, C.A.";"";"Tel: (58) (243) 2173533";"Calle Santos Michelena Rs. Jade, Local 6 Maracay, Venezuela";"Accesorios Para Teléfonos Celulares"
"CONTACTO CELULAR";"";"Tel: (58) (276) 3567101";"Cl. 11, Barrio Obrero San Cristóbal, Venezuela";"Accesorios Para Teléfonos Celulares"
"PLANET DIGITAL 2004, C.A.";"";"Tel: (58) (243) 2326926";"Av. Las Delicias Base Aragua Maracay, Venezuela";"Accesorios Para Teléfonos Celulares"
"LABCEL LABORATORIO DE CELULARES, C.A.";"";"Tel: (58) (274) 2511300";"C.C. La Rosa Loc.4 Entre Entre Av 4 y 5, Cl.24 Mérida, Venezuela";"Accesorios Para Teléfonos Celulares"
"CURACAO CELULAR C.A.";"";"Tel: (58) (271) 2258627";"Cl.9, E/ Avs 9 Y 10 Valera, Venezuela";"Accesorios Para Teléfonos Celulares"
"CELCOM, C.A.";"";"Tel: (58) (276) 3566961";"Cr. 23, Barrio Obrero San Cristóbal, Venezuela";"Accesorios Para Teléfonos Celulares"
"CELULAR EL TIGRE, C.A.";"";"Tel: (58) (283) 2354187";"Calle Bolivar El Tigre, Venezuela";"Accesorios Para Teléfonos Celulares"
"SUPLYACCELL, C.A.";"";"Tel: (58) (261) 7539521";"Centro Comercial Galerias Mall, Primer Piso, Local E-1-9, La Limpia Maracaibo, Venezuela";"Accesorios Para Teléfonos Celulares"
"GALAXIA COM, C.A.";"";"Tel: (58) (285) 6329986";"Cl. Venezuela, Centro Ciudad Bolivar, Venezuela";"Accesorios Para Teléfonos Celulares"
"GLOBAL CONEXIONES, C.A.";"";"Tel: (58) (261) 7921408";"Bella Vista Maracaibo, Venezuela";"Accesorios Para Teléfonos Celulares"
"CELLULAR CONNECTION";"";"Tel: (58) (243) 2327692";"C.C. Paseo Nivel Av, Local Av-50, Av. Las Delicias Maracay, Venezuela";"Accesorios Para Teléfonos Celulares"
"DIGINET, C.A";"";"Tel: (58) (251) 6229914";"Avenida 26 Barquisimeto, Venezuela";"Accesorios Para Teléfonos Celulares"
"MICROCOM, C.A";"";"Tel: (58) (265) 4151968";"Cristobal Colon Ciudad Ojeda, Venezuela";"Accesorios Para Teléfonos Celulares"
"MOTO MOVIL, CA";"";"Tel: (58) (241) 8642678";"Av. Bolivar Valencia, Venezuela";"Accesorios Para Teléfonos Celulares"
"ER EMERGENCY ROOM CELULAR SERVICE, C.A";"";"Tel: (58) (269) 2468674";"Av, Bolivar, Centro Punto Fijo, Venezuela";"Accesorios Para Teléfonos Celulares"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Aceites Esenciales"
"INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE ADMINISTRACIÓN INDUSTRIAL";"";"Tel: (58) (212) 3637682";"Guarenas Guarenas, Venezuela";"Administración Industrial"
"ACOCY C.A ADMINISTRACIÓN DE COMEDORES Y CAFETINES INDUSTRIAL";"";"Tel: (58) (212) 2341043";"Horizonte Caracas, Venezuela";"Administración Industrial"
"AEROGRAFIAS DE VENEZUELA, C.A.";"";"Tel: (58) (212) 9520060";"Chacaito Chacaíto , Venezuela";"Aerografia"
"UPS";"";"Tel: (58) (212) 4014900";"Caracas Caracas, Venezuela";"Agencias De Carga Marítima"
"AGRÍCOLA SELE";"";"Tel: (58) (244) 3960176";"Carretera Nacional Cagua - La Villa, Cagua, Edo. Aragua Cagua, Venezuela";"Agencias De Carga Marítima"
"KUHNE & NAGEL, C.A.";"";"Tel: (58) (212) 9515090";"Av Fco De Miranda, El Rosal Caracas, Venezuela";"Agencias De Carga Marítima"
"TRANSLOGISTICA";"";"Tel: (58) (212) 9931269";"Paseo Enrique Eraso Con Cl. Chivacoa, Edif. Tamanaco Piso 10, Ofic. 10-D. Urb. San Román, Caracas - Venezuela Caracas, Venezuela";"Agencias De Carga Marítima"
"MID - AMERICA OVERSEAS DE VENEZUELA, C.A.";"";"Tel: (58) (212) 7610728";"AV. Francisco Solano López con calle la Iglesia, torre centro solano plaza piso 3. Ofc. 3C y 3D sabana Grande Caracas, Venezuela";"Agencias De Carga Marítima"
"ADUANERA RAPICAR, C.A.";"";"Tel: (58) (212) 4817589";"El Paraiso Caracas, Venezuela";"Agencias De Carga Marítima"
"CONTAINERS EQUIP AND SERVICE C.E.A.S, C.A.";"";"Tel: (58) (212) 9932217";"Av. Paseo Enrrique, San Román Caracas, Venezuela";"Agencias De Carga Marítima"
"VENEZUELAN INTERNACIONAL LOGISTIC, C.A. VILCA";"";"Tel: (58) (212) 9592027";"C.C.C.T., Torre C, Piso 6, Ofic. C-602 Av La Estancia, Chuao Caracas, Venezuela";"Agencias De Carga Marítima"
"A B X LOGISTICS VENEZUELA, C.A.";"";"Tel: (58) (212) 3316278";"Maiquetía Caracas, Venezuela";"Agencias De Carga Marítima"
